Transect,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,03N,A,03N-A,MT-TSHE-H-03N-A,,,2013,0,0,0,0,0,48,RINGWIDTH,1,NotAFile,2/7/14 10:29,                   ,,1772 12169 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],894.0000 6240.0000 942.0000 177.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,128.3056,1.647,2.227,1.955,2.661,2.641,1.922,2.366,3.653,3.682,2.875,4.017,3.216,3.026,3.28,3.597,3.806,3.617,2.81,2.618,3.649,2.715,3.243,3.259,2.92,2.636,3.109,3.321,3.021,1.679,2.284,2.496,1.641,1.977,1.492,1.538,1.174,1.164,1.205,0.889,0.822,1.107,0.895,0.595,0.519,0.694,0.783,1.482,2.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,03N,B,03N-B,MT-TSHE-H-03N-B,,,2013,0,0,0,0,0,48,RINGWIDTH,1,NotAFile,2/7/14 10:29,                   ,,1772 12169 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],888.0000 6692.0000 870.0000 12116.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,114.7801,1.329,1.979,1.853,2.232,2.568,2.424,3.019,3.023,3.403,2.071,3.343,2.603,2.553,3.023,3.428,4.033,3.677,3.108,2.621,3.464,3.894,4.473,3.993,3.488,1.983,2.171,2.095,2.016,1.605,1.706,2.522,2.41,1.57,1.244,1.121,0.939,0.681,0.801,0.443,0.33,0.489,0.443,0.473,0.488,0.855,0.669,2.284,1.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,04C,B,04C-B,MT-TSHE-H-04C-B,,,2013,0,0,0,0,0,65,RINGWIDTH,1,NotAFile,2/7/14 10:39,                   ,,3879 9333 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],927.0000 8268.0000 837.0000 1401.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,145.3278,0.82,0.673,0.524,0.837,0.763,0.973,2.327,3.51,4.245,3.597,1.998,1.881,1.956,2.997,3.668,3.996,3.029,2.715,2.312,3.211,0.618,3.688,2.444,2.138,1.54,3.073,2.569,2.815,1.71,2.308,3.492,1.926,2.539,2.433,1.834,2.425,1.919,2.471,1.909,1.588,1.922,2.352,2.679,1.81,1.315,0.934,1.161,1.955,1.807,1.558,1.926,1.325,1.078,0.883,0.946,0.757,0.715,0.631,0.773,0.559,0.93,1.494,0.814,1.745,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,04C,A,04C-A,MT-TSHE-H-04C-A,,,2013,0,0,0,0,0,61,RINGWIDTH,1,NotAFile,2/7/14 10:39,                   ,,3879 9333 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],2946.0000 8296.0000 3188.0000 948.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,155.5779,1.802,2.207,1.444,1.64,1.915,1.373,2.461,3.661,3.773,4.221,2.987,2.711,3.22,2.877,3.203,4.393,2.946,2.974,3.507,3.296,0.823,2.937,1.819,1.838,0.738,3.077,3.229,3.133,1.807,2.642,3.996,2.769,3.757,4.01,2.492,3.039,2.633,3.287,2.071,2.264,2.395,2.434,2.698,2.202,2.55,2.24,1.351,1.802,1.526,1.418,1.59,1.084,0.865,0.669,0.659,0.463,0.486,0.389,0.356,0.349,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,04N,B,04N-B,MT-TSHE-H-04N-B,,,2013,0,0,0,0,0,66,RINGWIDTH,1,NotAFile,2/7/14 10:56,                   ,,3603 10357 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],399.0000 8529.0000 549.0000 1287.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,151.7068,1.204,1.236,1.059,1.03,1.255,1.298,1.29,1.701,1.955,1.497,2.045,1.849,2.408,2.755,2.775,3.71,2.881,2.562,3.718,3.385,1.655,2.464,2.491,1.668,0.756,1.754,1.608,1.459,1.437,1.667,1.881,1.568,1.749,1.817,1.608,2.092,1.713,2.047,1.524,1.248,1.714,1.544,1.815,1.579,1.703,1.163,1.545,2.281,1.613,2.942,1.841,1.096,1.354,1.292,1.382,1.544,2.272,1.005,1.789,1.683,2.08,2.036,2.888,2.902,1.811,1.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,04N,A,04N-A,MT-TSHE-H-04N-A,,,2013,0,0,0,0,0,74,RINGWIDTH,1,NotAFile,2/7/14 10:56,                   ,,3603 10357 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],2874.0000 8967.0000 3078.0000 198.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,185.6143,2.165,2.745,3.003,2.746,2.774,2.421,3.237,4.055,5.025,4.154,3.227,2.869,2.896,2.769,1.849,1.007,1.117,1.14,0.909,2.855,2.655,2.253,1.879,1.902,0.379,1.777,2.347,2.137,1.68,1.841,1.925,1.815,2.253,2.044,1.693,1.57,1.863,2.142,1.691,1.396,1.883,1.904,2.433,2.78,2.807,1.898,1.775,2.717,2.477,2.947,1.947,1.432,1.778,1.566,1.883,2.116,2.328,1.754,2.701,1.438,2.025,1.574,2.024,2.303,2.079,1.949,1.883,1.603,1.283,0.903,1.223,1.669,0.974,0.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,05C,A,05C-A,MT-TSHE-H-05C-A,,,2013,0,0,0,0,0,65,RINGWIDTH,1,NotAFile,2/7/14 15:38,                   ,,590 9688 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],293.0000 4578.0000 181.0000 331.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,89.9036,0.99,1.105,1.143,1.273,1.77,1.459,1.564,1.122,0.623,1.101,1.029,1.105,1.088,1.134,1.037,1.057,1.131,0.963,1.175,0.933,1.088,0.868,1.055,0.6,1.238,1.098,0.957,0.693,1.222,1.171,0.96,1.254,1.301,1.246,1.489,1.453,1.301,1.015,0.811,1.252,1.214,1.44,1.352,1.01,0.755,1.161,1.664,1.173,1.685,1.419,1.017,1.06,1.306,1.396,1.297,1.319,1.163,1.678,1.244,1.494,1.261,1.114,1.388,1.715,0.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,05C,B,05C-B,MT-TSHE-H-05C-B,,,2013,0,0,0,0,0,66,RINGWIDTH,1,NotAFile,2/7/14 15:38,                   ,,590 9688 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],279.0000 4983.0000 426.0000 9614.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,98.0476,0.936,0.888,0.973,1.052,0.912,0.994,1.417,1.227,1.034,0.823,0.902,0.904,0.989,1.35,1.443,1.502,1.444,1.522,1.851,1.569,0.957,1.612,1.06,1.415,0.71,1.529,1.313,1.383,0.956,1.398,1.57,1.462,1.979,1.346,1.465,1.628,1.369,1.357,1.023,1.013,1.305,1.373,1.633,1.471,1.33,0.955,1.337,1.661,0.96,2.11,1.36,0.85,1.114,0.981,1.141,1.147,1.128,0.821,1.326,1.163,1.457,1.583,1.292,2.1,2.32,0.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,05N,A,05N-A,MT-TSHE-H-05N-A,,,2013,0,0,0,0,0,58,RINGWIDTH,1,NotAFile,2/7/14 15:51,                   ,,433 9688 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],227.0000 4674.0000 200.0000 272.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,93.1543,1.398,1.025,1.317,1.416,1.966,1.138,0.933,1.625,1.755,1.418,1.158,1.059,0.697,0.802,0.718,0.826,1.246,1.016,1.163,0.823,1.842,1.458,1.883,1.819,1.12,0.839,1.36,1.546,1.353,1.037,1.451,2.367,1.834,1.973,1.629,1.422,1.862,1.365,1.804,1.027,0.928,1.271,1.375,1.379,1.198,2.133,1.188,1.35,1.875,1.914,2.062,2.138,1.401,1.264,1.294,1.262,1.22,0.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,05N,B,05N-B,MT-TSHE-H-05N-B,,,2013,0,0,0,0,0,58,RINGWIDTH,1,NotAFile,2/7/14 15:51,                   ,,433 9688 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],231.0000 4954.0000 288.0000 9316.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,92.3139,0.823,0.789,0.759,0.741,0.656,0.929,1.373,1.816,1.839,1.452,1.086,1.056,0.993,1.079,1.311,1.143,1.079,1.079,0.677,1.566,1.079,1.185,0.889,1.164,0.783,1.439,1.223,1.244,1.087,1.405,2.564,1.763,1.911,1.693,1.431,0.585,0.868,1.258,1.301,1.072,0.911,1.209,1.791,1.895,0.916,0.908,0.455,1.4,2.551,2.194,1.611,1.797,1.498,1.297,1.58,2.064,2.83,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,06C,A,06C-A,MT-TSHE-H-06C-A,,,2013,0,0,0,0,0,77,RINGWIDTH,1,NotAFile,2/7/14 16:08,                   ,,1910 11184 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],294.0000 8439.0000 124.0000 465.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,168.7792,1.119,0.867,0.846,1.2,1.247,1.268,1.816,2.342,2.008,1.423,1.729,1.587,1.46,1.947,2.325,3.118,2.701,2.619,2.639,3.797,2.487,2.308,1.555,1.954,1.095,2.675,2.57,2.748,2.167,3.11,3.615,3.1,3.434,3.235,1.622,3.092,2.144,2.471,1.682,1.706,2.293,2.533,2.992,2.642,1.995,1.538,1.936,2.576,1.783,2.352,1.696,1.359,1.673,1.552,1.77,1.742,1.841,1.275,2.224,1.516,2.053,1.647,1.623,1.73,1.983,1.774,1.464,1.695,2.003,1.984,2.689,2.322,1.624,1.195,1.922,2.714,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,06C,B,06C-B,MT-TSHE-H-06C-B,,,2013,0,0,0,0,0,71,RINGWIDTH,1,NotAFile,2/7/14 16:08,                   ,,1910 11184 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1686.0000 5142.0000 1698.0000 331.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,101.8078,0.936,0.649,0.865,0.719,0.802,0.76,0.971,1.074,0.863,0.592,0.84,0.97,0.949,1.12,1.679,1.945,1.56,0.93,1.185,1.669,1.375,1.65,1.094,1.245,0.653,1.668,2.091,1.714,1.517,1.87,3.001,2.115,1.501,0.825,0.698,1.202,1.099,1.352,0.863,1.15,1.16,1.463,1.563,1.393,1.288,0.719,0.681,1.502,0.927,1.334,0.804,0.943,1.358,1.174,1.408,1.429,1.164,0.667,1.452,0.873,1.173,1.159,1.41,0.679,0.82,1.218,1.431,1.057,1.352,2.103,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,06N,A,06N-A,MT-TSHE-H-06N-A,,,2013,0,0,0,0,0,98,RINGWIDTH,1,NotAFile,2/7/14 16:20,                   ,,1910 8132 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],252.0000 6617.0000 159.0000 501.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,129.438,1.497,1.883,1.333,1.904,1.521,1.079,1.88,2.728,2.433,2.387,2.701,2.336,2.451,1.988,2.264,2.499,1.468,1.184,1.055,1.394,0.928,1.645,1.455,1.603,0.676,2.721,3.304,2.89,1.82,2.437,3.386,3.27,2.447,1.547,1.032,1.611,1.229,1.396,0.8,1.087,1.164,1.486,1.645,1.115,2.032,1.578,1.031,1.557,1.031,1.115,1.16,0.989,0.753,0.774,0.694,0.606,0.818,0.568,0.947,0.968,0.631,1.094,1.725,1.422,1.054,1.049,0.856,0.996,0.791,0.874,0.687,0.805,0.687,0.478,0.56,0.863,0.756,0.591,0.462,0.422,0.551,1.029,0.778,1.136,1.033,1.014,0.866,0.312,0.227,0.466,0.58,0.374,0.685,0.712,0.66,0.512,0.969,0.251,,,,,,
MT,TSHE,H,06N,B,06N-B,MT-TSHE-H-06N-B,,,2013,0,0,0,0,0,85,RINGWIDTH,1,NotAFile,2/7/14 16:20,                   ,,1910 8132 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1646.0000 5993.0000 1687.0000 383.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,118.7187,1.063,1.132,0.944,0.917,1.079,0.89,1.458,1.542,1.334,1.393,1.456,1.539,1.373,1.206,1.126,2.36,2.241,1.907,2.083,1.623,0.994,1.883,1.184,0.719,0.402,1.121,1.009,1.487,1.19,2.172,3.056,2.391,1.841,1.225,0.946,1.598,1.41,1.558,0.864,0.94,1.044,1.236,1.523,1.049,1.553,1.664,1.42,2.355,1.955,1.842,1.106,0.853,0.991,1.036,0.98,0.881,1.298,0.622,1.537,1.72,1.196,1.265,1,0.941,1.279,1.173,1.197,1.281,1.128,0.926,1.041,1.111,1.333,1.262,0.851,1.052,0.618,0.713,0.717,0.853,0.938,1.303,0.717,1.307,0.241,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,07C,A,07C-A,MT-TSHE-H-07C-A,,,2013,0,0,0,0,0,71,RINGWIDTH,1,NotAFile,2/7/14 16:29,                   ,,1713 4765 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],198.0000 4534.0000 166.0000 373.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,88.0552,0.295,0.275,0.401,0.106,0.359,0.423,0.402,0.508,0.381,0.508,0.402,0.381,0.381,0.296,0.233,0.296,0.275,0.254,0.296,0.232,0.549,0.507,0.401,0.464,0.718,0.486,0.782,0.761,0.929,0.781,0.824,0.782,0.925,0.992,1.099,0.655,0.677,0.55,0.592,0.402,0.698,1.455,1.607,1.82,1.797,2.11,1.61,1.916,2.527,1.576,2.054,1.987,1.666,2.599,2.769,2.837,3.673,3.281,1.466,2.63,1.835,2.563,2.675,1.811,1.259,1.11,1.371,1.164,1.641,1.394,0.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,07C,B,07C-B,MT-TSHE-H-07C-B,,,2013,0,0,0,0,0,67,RINGWIDTH,1,NotAFile,2/7/14 16:29,                   ,,1713 4765 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1571.0000 4343.0000 1541.0000 714.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,76.7974,0.296,0.167,0.293,0.23,0.275,0.338,0.381,0.613,0.423,0.381,0.402,0.486,0.38,0.317,0.254,0.254,0.233,0.212,0.444,0.507,1.056,0.423,0.718,0.38,0.486,0.528,1.416,1.162,1.056,0.951,1.666,1.882,1.396,0.867,0.634,1.163,1.669,1.711,1.225,0.717,1.035,2.2,2.2,1.692,1.606,1.735,1.947,2.328,2.766,2.124,2.515,1.796,1.504,1.76,1.607,1.413,1.133,1.08,1.028,2.184,1.509,1.897,1.87,1.576,1.124,2.023,0.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,07N,A,07N-A,MT-TSHE-H-07N-A,,,2013,0,0,0,0,0,79,RINGWIDTH,1,NotAFile,2/7/14 16:42,                   ,,413 10810 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],183.0000 4967.0000 149.0000 204.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,100.7943,2.351,1.904,1.396,1.847,1.494,1.637,1.938,1.933,1.556,1.742,1.597,1.527,1.713,1.597,2.002,2.445,1.87,1.586,1.673,2.033,0.932,1.53,1.486,1.792,1.386,1.95,1.591,1.396,1.261,1.088,1.406,1.358,1.641,1.453,1.313,1.094,0.904,0.867,0.621,0.542,0.888,0.882,1.075,0.809,0.909,0.933,0.613,0.93,0.572,0.655,0.662,0.632,0.586,0.643,0.782,0.516,0.869,0.536,0.694,0.545,0.504,0.561,1.404,1.323,0.866,0.67,0.787,0.773,0.754,0.654,0.628,0.365,0.429,0.424,0.554,0.73,0.373,0.647,0.227,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,07N,B,07N-B,MT-TSHE-H-07N-B,,,2013,0,0,0,0,0,79,RINGWIDTH,1,NotAFile,2/7/14 16:42,                   ,,413 10810 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],185.0000 5134.0000 235.0000 10654.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,116.8157,1.662,2.179,1.609,1.738,1.734,1.623,2.013,2.453,2.143,2.143,1.931,1.595,1.657,1.553,1.988,2.143,1.802,1.463,1.942,2.05,0.998,2.35,1.953,2.175,1.473,1.996,1.81,1.333,0.897,1.228,1.648,1.657,2.159,1.518,1.136,1.457,1.626,1.635,1.086,1.144,1.519,1.673,1.659,1.352,1.578,1.667,1.492,1.902,0.944,0.856,1.003,0.845,0.842,0.935,1.139,0.754,0.868,0.446,0.608,0.447,0.67,0.483,1.121,0.965,0.744,0.729,0.581,0.489,0.955,0.561,0.61,0.504,0.453,0.553,0.58,0.59,0.4,0.715,0.149,,,,,,,,,,,,,,,,,,,,,,,,,
MT,TSHE,H,08C,A,08C-A,MT-TSHE-H-08C-A,,,2013,0,0,0,0,0,75,RINGWIDTH,1,NotAFile,2/7/14 16:51,                   ,,1752 8585 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],193.0000 6685.0000 124.0000 567.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,129.4737,1.023,0.888,0.952,1.015,0.656,0.465,0.867,1.036,1.121,1.057,1.371,1.032,0.926,1.112,1.416,1.749,1.395,1.761,2.228,2.329,1.651,1.76,1.694,1.321,0.577,1.218,1.146,1.545,1.066,1.599,1.616,0.663,1.257,1.037,0.876,1.3,1.074,1.399,1.077,1.467,1.671,2.062,2.009,1.744,1.596,1.072,1.107,1.752,1.948,2.278,1.957,1.509,1.69,1.722,1.968,2.259,2.155,1.148,2.231,1.89,2.247,2.397,2.101,2.434,2.992,2.922,2.861,2.226,2.07,2.34,3.278,2.593,2.357,2.283,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
