State,Species,Band,Pair,Comp,Tag,Lat,Lon,Elevation
CO,ABLA,H,1,H,ABLA-H-01H,37.45735,108.083816,4360
CO,ABLA,H,1,L,ABLA-H-01L,37.45758,108.08465,3452
CO,ABLA,H,2,H,ABLA-H-2H,37.45622,108.08311,3498
CO,ABLA,H,2,L,ABLA-H-2L,37.45635,108.08355,3496
CO,ABLA,H,3,L,ABLA-H-3L,37.46117,108.08751,3447
CO,ABLA,H,3,H,ABLA-H-3H,37.46169,108.08877,3458
CO,ABLA,H,4,H,ABLA-H-4H,37.46403,108.08882,3473
CO,ABLA,H,4,L,ABLA-H-4L,37.46393,108.08939,3440
CO,ABLA,H,5,L,ABLA-H-5L,37.47036,108.0904,3466
CO,ABLA,H,5,H,ABLA-H-5H,37.4705,108.09035,3479
CO,ABLA,H,6,L,ABLA-H-6L,37.4703,108.0895,3510
CO,ABLA,H,6,H,ABLA-H-6H,37.47007,108.08968,3504
CO,ABLA,H,7,H,ABLA-H-7H,37.46888,108.0892,3504
CO,ABLA,H,7,L,ABLA-H-7L,37.46905,108.08965,3491
CO,ABLA,H,8,L,ABLA-H-8L,37.46901,108.08849,3522
CO,ABLA,H,8,H,ABLA-H-8H,37.46916,108.08898,3519
CO,ABLA,H,9,L,ABLA-H-9L,37.46798,108.08897,3493
CO,ABLA,H,9,H,ABLA-H-9H,37.46756,108.08887,3497
CO,ABLA,H,10,H,ABLA-H-10H,37.46767,108.08819,3512
CO,ABLA,H,10,L,ABLA-H-10L,37.46776,108.0879,3526
CO,ABLA,H,11,L,ABLA-H-11L,37.46836,108.088,3540
CO,ABLA,H,11,H,ABLA-H-11H,37.4683,108.08817,3529
CO,ABLA,H,12,L,ABLA-H-12L,37.4674,108.08955,3469
CO,ABLA,H,12,H,ABLA-H-12H,37.46728,108.08925,3478
CO,ABLA,H,13,H,ABLA-H-13H,37.46767,108.08994,3460
CO,ABLA,H,13,L,ABLA-H-13L,37.46779,108.09018,3447
CO,ABLA,H,14,H,ABLA-H-14H,37.46849,108.08926,3518
CO,ABLA,H,14,L,ABLA-H-14L,37.46861,108.08939,3496
CO,ABLA,H,15,H,ABLA-H-15H,37.46996,108.09029,3471
CO,ABLA,H,15,L,ABLA-H-15L,37.46978,108.09029,3461
CO,ABLA,L,1,H,ABLA-L-01H,37.47528,108.16043,3060
CO,ABLA,L,1,L,ABLA-L-01L,37.47547,108.16011,3060
CO,ABLA,L,2,L,ABLA-L-2L,37.47634,108.16026,3076
CO,ABLA,L,2,H,ABLA-L-2H,37.47612,108.15976,3073
CO,ABLA,L,3,L,ABLA-L-3L,37.47723,108.15843,3093
CO,ABLA,L,3,H,ABLA-L-3H,37.47689,108.15817,3073
CO,ABLA,L,4,L,ABLA-L-4L,37.4782,108.15935,3091
CO,ABLA,L,4,H,ABLA-L-4H,37.47802,108.15924,3093
