State,Species,Band,Pair,Comp,Tag,Lat,Lon,Elevation
CO,ABLA,L,5,L,ABLA-L-5L,37.47939,108.15802,3099
CO,ABLA,L,5,H,ABLA-L-5H,37.47926,108.15854,3102
CO,ABLA,L,6,L,ABLA-L-6L,37.47309,108.15238,3081
CO,ABLA,L,6,H,ABLA-L-6H,37.4731,108.15221,3075
CO,ABLA,L,7,L,ABLA-L-7L,37.47392,108.15141,3100
CO,ABLA,L,7,H,ABLA-L-7H,37.47358,108.15178,3095
CO,ABLA,L,8,L,ABLA-L-8L,37.47415,108.1521,3090
CO,ABLA,L,8,H,ABLA-L-8H,37.47407,108.15222,3086
CO,ABLA,L,9,L,ABLA-L-9L,37.4758,108.15514,3090
CO,ABLA,L,9,H,ABLA-L-9H,37.47607,108.1553,3087
CO,ABLA,L,10,H,ABLA-L-10H,37.48755,108.16793,3109
CO,ABLA,L,10,L,ABLA-L-10L,37.48755,108.16811,3111
CO,ABLA,L,11,L,ABLA-L-11L,37.48987,108.16926,3109
CO,ABLA,L,11,H,ABLA-L-11H,37.48922,108.16915,3108
CO,ABLA,L,12,H,ABLA-L-12H,37.49078,108.17015,3112
CO,ABLA,L,12,L,ABLA-L-12L,37.49075,108.17022,3104
CO,ABLA,L,13,L,ABLA-L-13L,37.49439,108.17384,3083
CO,ABLA,L,13,H,ABLA-L-13H,37.49456,108.17384,3083
CO,ABLA,L,14,L,ABLA-L-14L,37.49459,108.17503,3060
CO,ABLA,L,14,H,ABLA-L-14H,37.4954,108.17471,3067
CO,ABLA,L,15,L,ABLA-L-15-L,37.49729,108.17474,3071
CO,ABLA,L,15,H,ABLA-L-15H,37.4971,108.17467,3067
CO,ABLA,M,1,L,ABLA-M-01L,37.48695,108.14342,3310
CO,ABLA,M,1,H,ABLA-M-01H,37.48679,108.14275,3300
CO,ABLA,M,2,L,ABLA-M-2L,37.48618,108.14272,3293
CO,ABLA,M,2,H,ABLA-M-2H,37.48616,108.14242,3290
CO,ABLA,M,3,L,ABLA-M-3L,37.48539,108.14243,3287
CO,ABLA,M,3,H,ABLA-M-3H,37.48565,108.14149,3290
CO,ABLA,M,4,H,ABLA-M-4H,37.48489,108.14058,3285
CO,ABLA,M,4,L,ABLA-M-4L,37.48523,108.14028,3300
CO,ABLA,M,5,H,ABLA-M-5H,37.48512,108.13885,3285
CO,ABLA,M,5,L,ABLA-M-5L,37.48514,108.13905,3285
CO,ABLA,M,6,H,ABLA-M-6H,37.48589,108.1395,3298
CO,ABLA,M,6,L,ABLA-M-6L,37.48593,108.13933,3303
CO,ABLA,M,7,H,ABLA-M-7H,37.48451,108.13879,3275
CO,ABLA,M,7,L,ABLA-M-7L,37.48437,108.13862,3279
CO,ABLA,M,8,L,ABLA-M-8L,37.48413,108.13988,3276
CO,ABLA,M,8,H,ABLA-M-8H,37.48429,108.13975,3281
CO,ABLA,M,9,L,ABLA-M-9L,37.48423,108.14154,3286
CO,ABLA,M,9,H,ABLA-M-9H,37.48442,108.14133,3271
CO,ABLA,M,10,H,ABLA-M-10H,37.47838,108.11351,3289
CO,ABLA,M,10,L,ABLA-M-10L,37.4784,108.1142,3277
CO,ABLA,M,11,H,ABLA-M-11H,37.47876,108.11326,3293
CO,ABLA,M,11,L,ABLA-M-11L,37.47888,108.11311,3296
CO,ABLA,M,12,L,ABLA-M-12L,37.47884,108.11326,3304
CO,ABLA,M,12,H,ABLA-M-12H,37.4797,108.11333,3303
CO,ABLA,M,13,H,ABLA-M-13H,37.48077,108.1135,3312
CO,ABLA,M,13,L,ABLA-M-13L,37.48055,108.11367,3305
CO,ABLA,M,14,L,ABLA-M-14L,37.47979,108.1154,3278
CO,ABLA,M,14,H,ABLA-M-14H,37.47972,108.11516,3275
CO,ABLA,M,15,L,ABLA-M-15L,37.47785,108.11226,3292
CO,ABLA,M,15,H,ABLA-M-15H,37.478,108.11216,3304
CO,PIPO,H,1,L,PIPO-H-01L,37.49058,108.23962,2709
CO,PIPO,H,1,H,PIPO-H-01H,37.49069,108.23952,2705
CO,PIPO,H,2,H,PIPO-H-2H,37.48562,108.24797,2679
CO,PIPO,H,2,L,PIPO-H-2L,37.48611,108.24815,2679
CO,PIPO,H,3,H,PIPO-H-3H,37.48592,108.2506,2673
CO,PIPO,H,3,L,PIPO-H-3L,37.48549,108.25059,2672
CO,PIPO,H,4,H,PIPO-H-4H,37.48365,108.2522,2668
CO,PIPO,H,4,L,PIPO-H-4L,37.48371,108.25212,2666
CO,PIPO,H,5,H,PIPO-H-5H,37.46877,108.22702,2699
CO,PIPO,H,5,L,PIPO-H-5L,37.46886,108.22683,2692
CO,PIPO,H,6,H,PIPO-H-6H,37.46813,108.22678,2689
CO,PIPO,H,6,L,PIPO-H-6L,37.4683,108.22658,2699
CO,PIPO,H,7,H,PIPO-H-7H,37.46772,108.22676,2681
CO,PIPO,H,7,L,PIPO-H-7L,37.46781,108.22659,2688
CO,PIPO,H,8,H,PIPO-H-8H,37.46493,108.22893,2688
CO,PIPO,H,8,L,PIPO-H-8L,37.465,108.22871,2684
CO,PIPO,H,9,H,PIPO-H-9H,37.46433,108.22867,2678
CO,PIPO,H,9,L,PIPO-H-9L,37.46042,108.22877,2679
CO,PIPO,H,10,H,PIPO-H-10H,37.46262,108.23158,2669
CO,PIPO,H,10,L,PIPO-H-10L,37.46243,108.23191,2661
CO,PIPO,H,11,H,PIPO-H-11H,37.45879,108.23503,2646
CO,PIPO,H,11,L,PIPO-H-11L,37.45859,108.23398,2652
CO,PIPO,H,12,H,PIPO-H-12H,37.47892,108.23125,2711
CO,PIPO,H,12,L,PIPO-H-12L,37.47898,108.23145,2709
CO,PIPO,L,1,H,PIPO-L-1H,37.41583,108.33578,2292
CO,PIPO,L,1,L,PIPO-L-1L,37.41592,108.33591,2294
CO,PIPO,L,2,H,PIPO-L-2H,37.41694,108.33577,2308
CO,PIPO,L,2,L,PIPO-L-2L,37.41686,108.3058,2302
CO,PIPO,L,3,H,PIPO-L-3H,37.41505,108.33302,2298
CO,PIPO,L,3,L,PIPO-L-3L,37.41505,108.33302,2304
CO,PIPO,L,4,H,PIPO-L-4H,37.41517,108.33176,2298
CO,PIPO,L,4,L,PIPO-L-4L,37.41553,108.33155,2307
CO,PIPO,L,5,H,PIPO-L-5H,37.41538,108.31711,2336
CO,PIPO,L,5,L,PIPO-L-5L,37.41556,108.31698,2336
CO,PIPO,L,6,H,PIPO-L-6H,37.39441,108.30241,2264
CO,PIPO,L,6,L,PIPO-L-6L,37.39445,108.30246,2256
CO,PIPO,L,7,H,PIPO-L-7H,37.39498,108.3022,2266
CO,PIPO,L,7,L,PIPO-L-7L,37.39492,108.30246,2259
CO,PIPO,L,8,H,PIPO-L-8H,37.39215,108.30974,2246
CO,PIPO,L,8,L,PIPO-L-8L,37.3924,108.30983,2240
CO,PIPO,L,9,H,PIPO-L-9H,37.39235,108.30912,2250
CO,PIPO,L,9,L,PIPO-L-9L,37.39223,108.30914,2249
CO,PIPO,L,10,H,PIPO-L-10H,37.39123,108.30937,2241
CO,PIPO,L,10,L,PIPO-L-10L,37.39138,108.30949,2245
CO,PIPO,M,1,L,PIPO-M-01L,37.44002,108.27715,2484
CO,PIPO,M,1,H,PIPO-M-01H,37.44,108.27736,2483
CO,PIPO,M,2,L,PIPO-M-2L,37.43943,108.27662,2485
CO,PIPO,M,2,H,PIPO-M-2H,37.439067,108.27669,2495
CO,PIPO,M,3,H,PIPO-M-3H,37.44008,108.27596,2497
CO,PIPO,M,3,L,PIPO-M-3L,37.44014,108.27583,2498
CO,PIPO,M,4,L,PIPO-M-4L,37.43881,108.27474,2489
CO,PIPO,M,4,H,PIPO-M-4H,37.43925,108.27466,2496
CO,PIPO,M,5,H,PIPO-M-5H,37.4394,108.2761,2490
CO,PIPO,M,5,L,PIPO-M-5L,37.43927,108.27594,2489
CO,PIPO,M,6,H,PIPO-M-6H,37.43092,108.28442,2457
CO,PIPO,M,6,L,PIPO-M-6L,37.43105,108.28455,2458
CO,PIPO,M,7,H,PIPO-M-7H,37.42987,108.28416,2440
CO,PIPO,M,7,L,PIPO-M-7L,37.42991,108.28429,2446
CO,PIPO,M,8,H,PIPO-M-8H,37.42738,108.28402,2456
CO,PIPO,M,8,L,PIPO-M-8L,37.42748,108.28445,2450
CO,PIPO,M,9,H,PIPO-M-9H,37.42665,108.28458,2449
CO,PIPO,M,9,L,PIPO-M-9L,37.42646,108.28452,2437
CO,PIPO,M,10,H,PIPO-M-10H,37.42549,108.28567,2431
CO,PIPO,M,10,L,PIPO-M-10L,37.42528,108.28574,2425
CO,POTR,H,1,H,POTR-H-01H,37.47519,108.16055,3060
CO,POTR,H,1,L,POTR-H-01L,37.4755,108.16063,3060
CO,POTR,H,2,H,POTR-H-2H,37.4766,108.16027,3076
CO,POTR,H,2,L,POTR-H-2L,37.47657,108.16007,3077
CO,POTR,H,3,L,POTR-H-3L,37.47728,108.15832,3103
CO,POTR,H,3,H,POTR-H-3H,37.47728,108.15832,3103
CO,POTR,H,4,L,POTR-H-4L,37.47813,108.15969,3089
CO,POTR,H,4,H,POTR-H-4H,37.4781,108.15974,3092
CO,POTR,H,5,H,POTR-H-5H,37.48036,108.16074,3100
CO,POTR,H,5,L,POTR-H-5L,37.48048,108.16118,3090
CO,POTR,H,6,L,POTR-H-6L,37.47376,108.15451,3072
CO,POTR,H,6,H,POTR-H-6H,37.47368,108.1543,3077
CO,POTR,H,7,L,POTR-H-7L,37.47227,108.15403,3072
CO,POTR,H,7,H,POTR-H-7H,37.47247,108.15385,3083
CO,POTR,H,8,L,POTR-H-8L,37.47222,108.15279,3080
CO,POTR,H,8,H,POTR-H-8H,37.47219,108.15292,3082
CO,POTR,H,9,L,POTR-H-9L,37.47311,108.15182,3073
CO,POTR,H,9,H,POTR-H-9H,37.47287,108.15202,3075
CO,POTR,H,10,H,POTR-H-10H,37.47412,108.15241,3099
CO,POTR,H,10,L,POTR-H-10L,37.47422,108.15232,3094
CO,POTR,H,11,L,POTR-H-11L,37.48755,108.16841,3100
CO,POTR,H,11,H,POTR-H-11H,37.48707,108.16831,3099
CO,POTR,H,12,L,POTR-H-12L,37.48975,108.16877,3098
CO,POTR,H,12,H,POTR-H-12H,37.48933,108.1688,3100
CO,POTR,H,13,L,POTR-H-13L,37.48162,108.17239,3092
CO,POTR,H,13,H,POTR-H-13H,37.48174,108.17208,3096
CO,POTR,H,14,H,POTR-H-14H,37.49717,108.1745,3066
CO,POTR,H,14,L,POTR-H-14L,37.49733,108.17487,3069
CO,POTR,H,15,L,POTR-H-15L,37.49428,108.17317,3089
CO,POTR,H,15,H,POTR-H-15H,37.49398,108.17322,3090
CO,POTR,L,1,H,POTR-L-01H,37.49124,108.23892,2710
CO,POTR,L,1,L,POTR-L-01L,37.49117,108.23897,2709
CO,POTR,L,2,L,POTR-L-2L,37.49039,108.23978,2703
CO,POTR,L,2,H,POTR-L-2H,37.49087,108.23985,2706
CO,POTR,L,3,L,POTR-L-3L,37.48751,108.24126,2701
CO,POTR,L,3,H,POTR-L-3H,37.48734,108.24092,2698
CO,POTR,L,4,H,POTR-L-4H,37.48564,108.24729,2682
CO,POTR,L,4,L,POTR-L-4L,37.48599,108.24802,2675
CO,POTR,L,5,L,POTR-L-5L,37.48521,108.25084,2672
CO,POTR,L,5,H,POTR-L-5H,37.48508,108.25082,2678
CO,POTR,L,6,L,POTR-L-6L,37.48452,108.25175,2660
CO,POTR,L,6,H,POTR-L-6H,37.48428,108.25162,2661
CO,POTR,L,7,H,POTR-L-7H,37.48319,108.25181,2667
CO,POTR,L,7,L,POTR-L-7L,37.48294,108.25185,2661
CO,POTR,L,8,H,POTR-L-8H,37.49409,108.25397,2689
CO,POTR,L,8,L,POTR-L-8L,37.49421,108.25388,2685
CO,POTR,L,9,H,POTR-L-9H,37.47311,108.22019,2722
CO,POTR,L,9,L,POTR-L-9L,37.47299,108.21992,2713
CO,POTR,L,10,H,POTR-L-10H,37.47158,108.21972,2707
CO,POTR,L,10,L,POTR-L-10L,37.47171,108.21951,2706
CO,POTR,L,11,H,POTR-L-11H,37.47079,108.22282,2710
CO,POTR,L,11,L,POTR-L-11L,37.47083,108.22306,2706
CO,POTR,L,12,H,POTR-L-12H,37.46202,108.23173,2661
CO,POTR,L,12,L,POTR-L-12L,37.46233,108.23192,2661
CO,POTR,L,13,H,POTR-L-13H,37.47773,108.22997,2714
CO,POTR,L,13,L,POTR-L-13L,37.47762,108.22998,2707
CO,POTR,L,14,H,POTR-L-14H,37.47972,108.23013,2714
CO,POTR,L,14,L,POTR-L-14L,37.47982,108.23041,2714
CO,POTR,M,1,H,POTR-M-1H,37.48189,108.19536,2867
CO,POTR,M,1,L,POTR-M-1L,37.48216,108.19538,2860
CO,POTR,M,2,L,POTR-M-2L,37.48219,108.19456,2869
CO,POTR,M,2,H,POTR-M-2H,37.48223,108.19475,2860
CO,POTR,M,3,L,POTR-M-3L,37.48204,108.1937,2869
CO,POTR,M,3,H,POTR-M-3H,37.48187,108.1936,2863
CO,POTR,M,4,H,POTR-M-4H,37.48162,108.19324,2867
CO,POTR,M,4,L,POTR-M-4L,37.48161,108.19313,2880
CO,POTR,M,5,L,POTR-M-5L,37.48108,108.19308,2873
CO,POTR,M,5,H,POTR-M-5H,37.48111,108.19292,2861
CO,POTR,M,6,L,POTR-M-6L,37.48135,108.19264,2808
CO,POTR,M,6,H,POTR-M-6H,37.48143,108.19263,2873
CO,POTR,M,7,L,POTR-M-7L,37.48188,108.19228,2884
CO,POTR,M,7,H,POTR-M-7H,37.48189,108.19227,2881
CO,POTR,M,8,L,POTR-M-8L,37.4819,108.19276,2879
CO,POTR,M,8,H,POTR-M-8H,37.48199,108.19293,2875
CO,POTR,M,9,L,POTR-M-9L,37.48367,108.19415,2871
CO,POTR,M,9,H,POTR-M-9H,37.48385,108.19419,2868
CO,POTR,M,10,L,POTR-M-10L,37.48355,108.19472,2867
CO,POTR,M,10,H,POTR-M-10H,37.48367,108.19473,2867
CO,POTR,M,11,L,POTR-M-11L,37.48374,108.19551,2864
CO,POTR,M,11,H,POTR-M-11H,37.4837,108.19553,2865
CO,POTR,M,12,L,POTR-M-12L,37.48328,108.19588,2858
CO,POTR,M,12,H,POTR-M-12H,37.48334,108.19597,2864
CO,POTR,M,13,H,POTR-M-13H,37.50023,108.19461,2917
CO,POTR,M,13,L,POTR-M-13L,37.50039,108.19473,2925
CO,POTR,M,14,H,POTR-M-14H,37.50036,108.19572,2911
CO,POTR,M,14,L,POTR-M-14L,37.50029,108.19571,2901
CO,POTR,M,15,L,POTR-M-15L,37.49947,108.19682,2917
CO,POTR,M,15,H,POTR-M-15H,37.49956,108.19675,2901
MT,ABLA,H,1,C,ABLA-H-1C,48.62741,113.83385,2255
MT,ABLA,H,1,N,ABLA-H-1N,48.62751,113.83385,2259
MT,ABLA,H,2,C,ABLA-H-2C,48.62709,113.83396,2249
MT,ABLA,H,2,N,ABLA-H-2N,48.62699,113.83408,2238
MT,ABLA,H,3,C,ABLA-H-3C,48.62897,113.83404,2272
MT,ABLA,H,3,N,ABLA-H-3N,48.62894,113.8343,2266
MT,ABLA,H,4,C,ABLA-H-4C,48.62841,113.83382,2269
MT,ABLA,H,4,N,ABLA-H-4N,48.62834,113.83387,2266
MT,ABLA,H,5,C,ABLA-H-5C,48.62811,113.83382,2263
MT,ABLA,H,5,N,ABLA-H-5N,48.62802,113.83369,2268
MT,ABLA,H,6,C,ABLA-H-6C,48.62655,113.83418,2231
MT,ABLA,H,6,N,ABLA-H-6N,48.62641,113.83421,2229
MT,ABLA,H,7,C,ABLA-H-7C,48.62716,113.83432,2241
MT,ABLA,H,7,N,ABLA-H-7N,48.62713,113.83434,2239
MT,ABLA,H,8,C,ABLA-H-8C,48.62632,113.83479,2211
MT,ABLA,H,8,N,ABLA-H-8N,48.62631,113.83472,2213
MT,ABLA,H,9,C,ABLA-H-9C,48.62602,113.8354,2181
MT,ABLA,H,9,N,ABLA-H-9N,48.62601,113.83546,2180
MT,ABLA,H,10,C,ABLA-H-10C,48.62584,113.83596,2173
MT,ABLA,H,10,N,ABLA-H-10N,48.62587,113.83601,2172
MT,ABLA,H,11,C,ABLA-H-11C,48.6259,113.83643,2153
MT,ABLA,H,11,N,ABLA-H-11N,48.6258,113.83646,2153
MT,ABLA,H,12,C,ABLA-H-12C,48.62565,113.83677,2144
MT,ABLA,H,12,N,ABLA-H-12N,48.62563,113.83694,2139
MT,ABLA,L,1,C,ABLA-L-1C,48.61662,113.84689,1645
MT,ABLA,L,1,N,ABLA-L-1N,48.61646,113.84699,1645
MT,ABLA,L,2,C,ABLA-L-2C,48.61768,113.84716,1633
MT,ABLA,L,2,N,ABLA-L-2N,48.61761,113.84709,1628
MT,ABLA,L,3,C,ABLA-L-3C,48.61854,113.84627,1649
MT,ABLA,L,3,N,ABLA-L-3N,48.61841,113.84622,1642
MT,ABLA,L,4,C,ABLA-L-4C,48.61929,113.84755,1612
MT,ABLA,L,4,N,ABLA-L-4N,48.61944,113.84765,1597
MT,ABLA,L,5,C,ABLA-L-5C,48.61784,113.84756,1613
MT,ABLA,L,5,N,ABLA-L-5N,48.61778,113.84763,1613
MT,ABLA,L,6,C,ABLA-L-6C,48.61511,113.84821,1577
MT,ABLA,L,6,N,ABLA-L-6N,48.61521,113.84795,1587
MT,ABLA,L,7,C,ABLA-L-7C,48.61558,113.84765,1584
MT,ABLA,L,7,N,ABLA-L-7N,48.61556,113.84745,1593
MT,ABLA,L,8,C,ABLA-L-8C,48.61569,113.84685,1623
MT,ABLA,L,8,N,ABLA-L-8N,48.61581,113.84695,1625
MT,ABLA,L,9,C,ABLA-L-9C,48.61624,113.84763,1612
MT,ABLA,L,9,N,ABLA-L-9N,48.61625,113.8475,1614
MT,ABLA,L,10,C,ABLA-L-10C,48.61726,113.84732,1601
MT,ABLA,L,10,N,ABLA-L-10N,48.61721,113.84757,1598
MT,ABLA,L,11,C,ABLA-L-11C,48.61773,113.84765,1590
MT,ABLA,L,11,N,ABLA-L-11N,48.61759,113.84759,1590
MT,ABLA,L,12,C,ABLA-L-12C,48.61739,113.84824,1584
MT,ABLA,L,12,N,ABLA-L-12N,48.61754,113.84849,1577
MT,ABLA,L,13,C,ABLA-L-13C,48.61618,113.8491,1574
MT,ABLA,L,13,N,ABLA-L-13N,48.61628,113.84901,1576
MT,ABLA,M,1,C,ABLA-M-1C,48.6218,113.8419,1888
MT,ABLA,M,1,N,ABLA-M-1N,48.622,113.84203,1893
MT,ABLA,M,2,C,ABLA-M-2C,48.62136,113.84151,1894
MT,ABLA,M,2,N,ABLA-M-2N,48.62142,113.84144,1896
MT,ABLA,M,3,C,ABLA-M-3C,48.62177,113.84148,1899
MT,ABLA,M,3,N,ABLA-M-3N,48.62172,113.84138,1899
MT,ABLA,M,4,C,ABLA-M-4C,48.62111,113.84211,1868
MT,ABLA,M,4,N,ABLA-M-4N,48.62125,113.84199,1874
MT,ABLA,M,5,C,ABLA-M-5C,48.62125,113.84074,1918
MT,ABLA,M,5,N,ABLA-M-5N,48.62142,113.84046,1918
MT,ABLA,M,6,C,ABLA-M-6C,48.62191,113.84077,1915
MT,ABLA,M,6,N,ABLA-M-6N,48.62191,113.8406,1919
MT,ABLA,M,7,C,ABLA-M-7C,48.6225,113.84063,1938
MT,ABLA,M,7,N,ABLA-M-7N,48.62261,113.84071,1939
MT,ABLA,M,8,C,ABLA-M-8C,48.62299,113.84124,1924
MT,ABLA,M,8,N,ABLA-M-8N,48.62301,113.84127,1918
MT,ABLA,M,9,C,ABLA-M-9C,48.62346,113.84084,1938
MT,ABLA,M,9,N,ABLA-M-9N,48.62334,113.84097,1936
MT,ABLA,M,10,C,ABLA-M-10C,48.62249,113.84167,1920
MT,ABLA,M,10,N,ABLA-M-10N,48.62245,113.84149,1929
MT,ABLA,M,11,C,ABLA-M-11C,48.62235,113.84224,1889
MT,ABLA,M,11,N,ABLA-M-11N,48.6224,113.84221,1882
MT,ABLA,M,12,C,ABLA-M-12C,48.62174,113.84239,1879
MT,ABLA,M,12,N,ABLA-M-12N,48.6218,113.84224,1881
MT,PSME,H,1,C,PSME-H-1C,48.61687,113.84642,1651
MT,PSME,H,1,N,PSME-H-1N,48.61701,113.84618,1653
MT,PSME,H,2,C,PSME-H-2C,48.61662,113.84707,1635
MT,PSME,H,2,N,PSME-H-2N,48.61671,113.84707,1632
MT,PSME,H,3,C,PSME-H-3C,48.61814,113.8466,1626
MT,PSME,H,3,N,PSME-H-3N,48.61812,113.8466,1634
MT,PSME,H,4,C,PSME-H-4C,48.61864,113.84625,1641
MT,PSME,H,4,N,PSME-H-4N,48.6184,113.84636,1650
MT,PSME,H,5,C,PSME-H-5C,48.61857,113.84697,1625
MT,PSME,H,5,N,PSME-H-5N,48.61852,113.84697,1617
MT,PSME,H,6,C,PSME-H-6C,48.61915,113.84731,1605
MT,PSME,H,6,N,PSME-H-6N,48.61914,113.8474,1603
MT,PSME,H,7,C,PSME-H-7C,48.61502,113.84825,1571
MT,PSME,H,7,N,PSME-H-7N,48.61507,113.84782,1576
MT,PSME,H,8,C,PSME-H-8C,48.61553,113.84769,1584
MT,PSME,H,8,N,PSME-H-8N,48.61554,113.84744,1584
MT,PSME,H,9,C,PSME-H-9C,48.61577,113.84707,1618
MT,PSME,H,9,N,PSME-H-9N,48.61578,113.84698,1620
MT,PSME,H,10,C,PSME-H-10C,48.61626,113.84769,1610
MT,PSME,H,10,N,PSME-H-10N,48.61627,113.84782,1609
MT,PSME,H,11,C,PSME-H-11C,48.61789,113.84785,1599
MT,PSME,H,11,N,PSME-H-11N,48.61781,113.84811,1601
MT,PSME,H,12,C,PSME-H-12C,48.61736,113.84818,1589
MT,PSME,H,12,N,PSME-H-12N,48.61762,113.8484,1585
MT,PSME,H,13,C,PSME-H-13C,48.61608,113.84911,1576
MT,PSME,H,13,N,PSME-H-13N,48.61618,113.84889,1577
MT,PSME,L,1,C,PSME-L-1C,48.61238,113.85163,1364
MT,PSME,L,1,N,PSME-L-1N,48.61247,113.85146,1377
MT,PSME,L,2,C,PSME-L-2C,48.61287,113.85242,1363
MT,PSME,L,2,N,PSME-L-2N,48.61286,113.85247,1362
MT,PSME,L,3,C,PSME-L-3C,48.61265,113.85267,1348
MT,PSME,L,3,N,PSME-L-3N,48.61274,113.85253,1350
MT,PSME,L,4,C,PSME-L-4C,48.61266,113.85323,1347
MT,PSME,L,4,N,PSME-L-4N,48.61263,113.85316,1347
MT,PSME,L,5,C,PSME-L-5C,48.61295,113.85406,1320
MT,PSME,L,5,N,PSME-L-5N,48.61296,113.85415,1320
MT,PSME,L,6,C,PSME-L-6C,48.61322,113.85496,1310
MT,PSME,L,6,N,PSME-L-6N,48.61324,113.85519,1308
MT,PSME,L,7,C,PSME-L-7C,48.61317,113.85568,1294
MT,PSME,L,7,N,PSME-L-7N,48.61314,113.8555,1297
MT,PSME,L,8,C,PSME-L-8C,48.61202,113.85635,1259
MT,PSME,L,8,N,PSME-L-8N,48.61207,113.85609,1266
MT,PSME,L,9,C,PSME-L-9C,48.61577,113.85652,1311
MT,PSME,L,9,N,PSME-L-9N,48.61575,113.85664,1310
MT,PSME,L,10,C,PSME-L-10C,48.6163,113.85709,1292
MT,PSME,L,10,N,PSME-L-10N,48.61616,113.85712,1292
MT,PSME,L,11,C,PSME-L-11C,48.6173,113.8553,1360
MT,PSME,L,11,N,PSME-L-11N,48.61716,113.85524,1367
MT,PSME,L,12,C,PSME-L-12C,48.61704,113.85685,1318
MT,PSME,L,12,N,PSME-L-12N,48.61715,113.85646,1327
MT,PSME,L,13,C,PSME-L-13C,48.61555,113.85364,1300
MT,PSME,L,13,N,PSME-L-13N,48.61562,113.85741,1289
MT,PSME,M,1,C,PSME-M-1C,48.61464,113.85052,1488
MT,PSME,M,1,N,PSME-M-1N,48.6146,113.85039,1488
MT,PSME,M,2,C,PSME-M-2C,48.61485,113.85076,1489
MT,PSME,M,2,N,PSME-M-2N,48.615,113.8511,1486
MT,PSME,M,3,C,PSME-M-3C,48.61515,113.85157,1481
MT,PSME,M,3,N,PSME-M-3N,48.61526,113.85166,1482
MT,PSME,M,4,C,PSME-M-4C,48.61536,113.85269,1447
MT,PSME,M,4,N,PSME-M-4N,48.61556,113.85275,1447
MT,PSME,M,5,C,PSME-M-5C,48.616,113.85265,1465
MT,PSME,M,5,N,PSME-M-5N,48.6161,113.85259,1465
MT,PSME,M,6,C,PSME-M-6C,48.61664,113.85262,1449
MT,PSME,M,6,N,PSME-M-6N,48.6166,113.85273,1449
MT,PSME,M,7,C,PSME-M-7C,48.61694,113.85309,1419
MT,PSME,M,7,N,PSME-M-7N,48.61699,113.85306,1422
MT,PSME,M,8,C,PSME-M-8C,48.61678,113.85383,1416
MT,PSME,M,8,N,PSME-M-8N,48.61667,113.85369,1422
MT,PSME,M,9,C,PSME-M-9C,48.61612,113.85356,1432
