"","State","Species","Band","mLat","mLon","mElev"
"1","CO","ABLA","H",37.466342,108.088470533333,3517.2
"2","CO","ABLA","L",37.482501,108.16255,3086.93333333333
"3","CO","ABLA","M",37.4828303333333,108.129851666667,3290.73333333333
"4","CO","PIPO","H",37.4731820833333,108.23548375,2682.33333333333
"5","CO","PIPO","L",37.4043895,108.317146,2279.55
"6","CO","PIPO","M",37.43379785,108.2803725,2467.75
"7","CO","POTR","H",37.4802073333333,108.1615,3085.2
"8","CO","POTR","L",37.4812114285714,108.237889642857,2692.57142857143
"9","CO","POTR","M",37.4859113333333,108.194341666667,2875.5
"10","MT","ABLA","H",48.6269329166667,113.834802916667,2219.33333333333
"11","MT","ABLA","L",48.6170115384615,113.847545,1607
"12","MT","ABLA","M",48.6220858333333,113.841429583333,1906.41666666667
"13","MT","PSME","H",48.6170796153846,113.847403846154,1610.42307692308
"14","MT","PSME","L",48.6141473076923,113.854762307692,1323
"15","MT","PSME","M",48.6155092307692,113.852655769231,1445.57692307692
"16","MT","TSHE","H",48.6148692307692,113.856273846154,1298.88461538462
"17","MT","TSHE","L",48.6188826923077,113.869619230769,1025.11538461538
"18","MT","TSHE","M",48.6140384615385,113.862059884615,1164.11538461538
"19","WA","ABLA","H",48.0001405,123.561081,1506.4
"20","WA","ABLA","L",48.0015815,123.5706935,1249.9
"21","WA","ABLA","M",48.0006915,123.5659295,1392.65
"22","WA","PSME","H",48.00024,123.569695909091,1298.09090909091
"23","WA","PSME","L",48.0077227272727,123.585877272727,394.181818181818
"24","WA","PSME","M",47.9971090909091,123.581635,857.181818181818
"25","WA","TSHE","H",48.00673,123.58216875,550.166666666667
"26","WA","TSHE","M",48.0102986363636,123.588065909091,221.363636363636
