"State","SpeciesBand","Latitude","Longitude","Elevation","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12"
"MT","PSME-M",48.614935,113.849045,1445.576923,-3.4,.3,3.9,9.2,15,20,24.2,23.6,17.3,10.8,2.4,-2.2,-12.4,-9.6,-7.2,-2.8,1.4,5.3,7.3,6.8,2.7,-1.2,-6,-10.5,-7.9,-4.6,-1.7,3.2,8.2,12.6,15.8,15.2,10,4.8,-1.8,-6.4,144,114,100,89,109,98,62,56,64,67,133,143
"MT","TSHE-H",48.614869,113.856043,1298.884615,-3.1,.5,4.2,9.8,15.6,20.5,24.7,24.1,17.7,11.1,2.7,-2,-12.2,-9.4,-6.9,-2.5,1.7,5.6,7.6,7,2.9,-1,-5.8,-10.3,-7.7,-4.4,-1.3,3.6,8.7,13,16.1,15.6,10.3,5.1,-1.6,-6.2,127,99,87,78,98,93,58,53,60,62,117,127
"MT","TSHE-L",48.630421,113.869619,1025.115385,-2.8,.9,4.7,10.5,16.2,21.1,25.2,24.5,18.2,11.7,3.2,-1.7,-12.1,-9.4,-6.6,-2.2,2.1,5.9,8,7.3,3.2,-.7,-5.7,-10.3,-7.4,-4.3,-.9,4.2,9.2,13.5,16.6,15.9,10.7,5.5,-1.2,-6,103,79,67,61,83,83,51,47,54,53,94,103
"MT","TSHE-M",187020.2828,113.865906,1164.115385,-2.8,.9,4.7,10.5,16.2,21.1,25.2,24.5,18.2,11.7,3.2,-1.7,-12.1,-9.4,-6.6,-2.2,2.1,5.9,8,7.3,3.2,-.7,-5.7,-10.3,-7.4,-4.3,-.9,4.2,9.2,13.5,16.6,15.9,10.7,5.5,-1.2,-6,103,79,67,61,83,83,51,47,54,53,94,103
"WA","ABLA-H",48.00014,123.561081,1506.4,1.7,2.4,4.9,8,11.8,14.9,18.6,19.4,17.2,10.4,3.3,1.7,-3.8,-3.5,-2.5,-.6,2.1,4.6,7.2,7.9,6.2,2.1,-1.9,-3.9,-1.1,-.6,1.2,3.7,7,9.8,12.9,13.6,11.7,6.2,.7,-1.1,295,225,205,105,64,37,24,34,61,166,300,325
"WA","ABLA-L",48.001582,123.570694,1249.9,2.5,3.3,6,8.9,12.8,15.8,19.3,20.1,17.8,11.2,4.3,2.5,-3.1,-2.7,-1.8,.1,2.8,5.4,7.8,8.4,6.7,2.7,-1.1,-3,-.3,.3,2.1,4.5,7.8,10.6,13.6,14.3,12.2,6.9,1.6,-.3,278,213,195,100,60,34,22,31,57,156,283,307
"WA","ABLA-M",48.000692,123.56593,1392.65,2.1,2.8,5.4,8.4,12.2,15.3,18.9,19.7,17.4,10.8,3.7,2.1,-3.5,-3.2,-2.2,-.3,2.4,4.9,7.5,8.1,6.4,2.3,-1.5,-3.5,-.7,-.2,1.6,4.1,7.3,10.1,13.2,13.9,11.9,6.5,1.1,-.7,287,219,200,103,62,35,23,32,59,161,292,316
"WA","PSME-H",47.999876,123.569498,1298.090909,2.4,3.1,5.8,8.8,12.6,15.7,19.2,20,17.7,11.1,4.1,2.4,-3.3,-2.8,-1.9,0,2.7,5.3,7.7,8.3,6.6,2.6,-1.2,-3.2,-.4,.2,1.9,4.4,7.7,10.5,13.5,14.1,12.1,6.8,1.5,-.4,281,216,197,101,61,35,22,32,57,157,287,311
"WA","PSME-L",48.007723,123.585741,394.1818182,5.4,6.6,9.2,12,15.9,18.8,21.8,22.4,19.9,14.1,8,5.7,-.1,.6,1.2,2.8,5.9,8.6,10.5,10.8,9,5.2,2,.4,2.7,3.6,5.2,7.4,10.9,13.7,16.2,16.6,14.5,9.6,5,3,249,192,176,90,54,30,20,27,51,140,255,275
"WA","PSME-M",47.997109,123.581635,857.1818182,3.8,4.6,7.4,10.3,14.2,17.2,20.4,21.2,18.7,12.5,5.9,3.9,-1.9,-1.3,-.5,1.3,4.1,6.7,8.9,9.4,7.6,3.7,.3,-1.6,.9,1.6,3.5,5.8,9.1,11.9,14.7,15.3,13.2,8.1,3.1,1.2,258,199,183,93,56,31,21,28,52,143,264,285
"WA","TSHE-H",48.006452,123.562752,550.1666667,5.3,6.4,8.8,11.5,15.5,18.5,21.6,22.1,19.8,13.9,7.9,5.6,0,.5,1.1,2.7,6,8.7,10.7,10.9,9.2,5.3,2,.4,2.6,3.4,5,7.1,10.8,13.6,16.2,16.5,14.5,9.6,4.9,3,287,219,199,102,62,36,22,32,59,162,291,316
"WA","TSHE-M",48.013935,123.588066,221.3636364,6,7.3,9.8,12.5,16.4,19.3,22.3,22.8,20.3,14.6,8.7,6.3,.4,1.2,1.7,3.3,6.5,9.2,11,11.2,9.4,5.7,2.6,1,3.2,4.2,5.8,7.9,11.4,14.2,16.6,17,14.9,10.1,5.7,3.6,242,186,169,87,53,30,20,27,50,138,247,267
