elevation,ABLA,ABLA_rd,ABLA_ld,Picea_sp,Picea_rd,Picea_ld,POTR,POTR_rd,POTR_ld,PSME,PSME_rd,PSME_ld,PIPO,PIPO_rd,PIPO_ld,Juniperus_sp,juniperus_rd,juniperus_ld,PIED,PIED_rd,PIED_ld,unidentified
3462,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3435,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3485,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3308,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400,11,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3290,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3490,2,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3395,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3300,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3505,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3450,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3257,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3250,5,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3242,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3215,3,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3216,3,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3180,11,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3150,4,0,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3140,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3100,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3080,2,0,0,8,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3085,6,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3090,6,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3050,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3040,5,0,0,4,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2980,1,0,0,0,0,0,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2980,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2959,0,0,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2958,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2950,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2908,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2890,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2885,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2855,0,0,0,0,0,0,38,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2845,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2830,0,0,0,0,0,0,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2800,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2780,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2780,0,0,0,0,0,0,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
