elevation,ABLA,ABLA_rd,ABLA_ld,Picea_sp,Picea_rd,Picea_ld,POTR,POTR_rd,POTR_ld,PSME,PSME_rd,PSME_ld,PIPO,PIPO_rd,PIPO_ld,Juniperus_sp,juniperus_rd,juniperus_ld,PIED,PIED_rd,PIED_ld,unidentified
2740,0,0,0,0,0,0,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2740,0,0,0,0,0,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2740,0,0,0,0,0,0,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2744,0,0,0,0,0,0,34,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2704,0,0,0,0,0,0,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2700,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2665,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0
2640,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
2603,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2554,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
2500,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0
2453,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
2560,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2493,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0
2450,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
2730,0,0,0,0,0,0,15,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2710,0,0,0,0,0,0,13,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0
2661,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2645,0,0,0,0,0,0,14,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
2611,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2600,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2550,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2489,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
2440,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
2406,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0
2400,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
2390,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
2356,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
2360,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,0
2300,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,4,0,0,0,0,0,0
2291,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,4,0,0,0,0
2290,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,0,0,0,0,0
2250,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,6,0,0,0
2260,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,4,0,0,4,0,2,0
2260,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,10,0,3,0
