Transect,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,3N,B,3N-B,WA-TSHE-M-3N-B,,,2013,0,0,0,0,0,91,RINGWIDTH,1,NotAFile,3/4/14 15:14,                   ,,2087 10141 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1887.0000 9999.0000 1605.0000 1149.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,185.8352,1.781,0.67,2.186,1.481,1.545,1.712,1.417,2.075,2.218,2.01,1.27,1.756,2.285,2.451,2.263,2.026,1.902,1.727,0.782,0.675,0.654,0.868,0.949,0.909,1.118,0.549,0.401,0.529,0.635,0.868,1.418,1.439,1.499,2.237,2.199,1.702,2.037,2.124,2.425,1.77,1.817,1.322,2.412,2.831,2.878,2.285,2.328,2.475,2.772,2.704,3.644,3.175,3.873,3.211,1.554,1.473,1.298,1.22,1.039,1.386,1.711,1.683,1.153,1.31,1.355,1.068,1.303,0.7,1.297,1.543,2.131,2.442,3.178,2.864,2.867,3.005,1.946,2.445,1.761,1.266,0.877,0.785,1.014,1.053,0.934,1.93,1.914,3.655,4.281,4.633,1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,4C,A,4C-A,WA-TSHE-M-4C-A,,,2013,0,0,0,0,0,111,RINGWIDTH,1,NotAFile,3/4/14 15:41,                   ,,2008 12031 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],244.0000 11872.0000 596.0000 300.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,244.9924,0.697,1.185,0.782,0.888,0.612,0.989,0.8,1.028,0.922,0.916,0.958,0.981,1.113,0.845,1.182,1.161,1.343,1.547,1.809,1.612,0.859,1.691,1.122,1.497,1.272,1.392,1.419,1.488,1.265,1.622,1.566,1.914,1.884,1.632,1.271,2.3,1.331,1.841,1.198,1.385,1.324,1.667,1.445,1.501,1.43,0.962,1.325,1.052,1.399,1.281,1.469,1.392,1.66,1.556,1.747,1.532,2.182,1.537,2.676,2.657,2.376,1.936,1.388,1.623,1.515,1.487,1.904,2.39,2.065,1.888,1.754,2.197,1.373,1.24,1.408,1.256,1.618,1.844,2.122,3.261,2.099,2.723,3.949,2.933,3.541,4.248,3.568,3.874,3.563,3.263,3.898,3.921,4.265,4.513,4.462,4.693,3.488,5.521,6.319,3.916,3.098,3.758,3.862,4.167,3.711,4.073,4.275,4.969,4.807,4.025,1.823,,,,,,,,
WA,TSHE,M,4C,B,4C-B,WA-TSHE-M-4C-B,,,2013,0,0,0,0,0,58,RINGWIDTH,1,NotAFile,3/4/14 15:41,                   ,,2008 12031 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1716.0000 11604.0000 1701.0000 2436.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,193.2886,1.984,1.185,1.734,1.289,2.472,2.05,1.946,1.714,1.608,2.283,4.041,6.336,4.762,5.3,5.655,5.331,2.266,0.666,2.328,2.309,1.796,3.151,3.959,3.376,1.608,1.905,1.185,1.566,1.417,2.453,2.539,3.153,3.734,3.044,1.726,3.316,3.152,4.777,4.334,5.374,4.606,5.84,5.244,4.292,4.479,3.541,5.869,5.332,7.435,5.587,3.79,1.759,1.769,1.897,1.027,1.223,1.725,2.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,4N,A,4N-A,WA-TSHE-M-4N-A,,,2013,0,0,0,0,0,93,RINGWIDTH,1,NotAFile,3/4/14 15:59,                   ,,2008 11578 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],219.0000 11247.0000 168.0000 333.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,221.9877,1.532,2.04,1.095,0.993,0.697,1.333,1.161,0.931,0.91,0.844,0.613,1.076,1.352,1.163,1.163,1.798,1.374,1.036,0.994,1.328,1.12,0.888,1.264,1.626,1.417,1.333,1.502,1.185,1.27,1.5,2.434,2.557,2.397,3.865,4.695,4.162,4.63,4.101,4.469,3.403,3.971,4.414,5.744,5.192,4.434,4.294,2.606,2.968,2.052,2.194,2.208,1.639,1.485,2.146,2.011,1.918,1.308,1.17,1.386,1.722,1.116,1.402,1.34,1.465,1.555,1.309,1.24,1.531,1.865,1.679,1.821,1.535,1.801,2.326,1.491,2.218,1.621,1.499,1.463,1.254,1.508,1.786,2.38,2.123,1.961,1.772,2.591,1.974,2.034,2.733,2.817,2.793,1.959,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,4N,B,4N-B,WA-TSHE-M-4N-B,,,2013,0,0,0,0,0,99,RINGWIDTH,1,NotAFile,3/4/14 15:59,                   ,,2008 11578 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1698.0000 11340.0000 1806.0000 1296.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,210.9702,1.662,1.563,1.578,1.65,0.973,1.248,1.46,1.185,1.362,1.354,0.773,1.439,1.439,1.523,1.458,1.86,1.925,1.333,1.608,1.435,1.27,1.524,1.585,1.037,1.27,1.344,1.427,1.577,1.512,1.904,2.095,2.137,2.158,2.116,1.693,1.926,2.378,2.989,2.176,2.852,2.361,2.152,2.129,2.97,2.187,2.013,2.727,2.306,2.157,1.947,3.534,2.37,1.862,1.608,1.333,1.227,1.439,1.439,2.539,2.941,2.455,1.882,1.691,1.856,1.416,2.134,2.703,2.713,2.13,1.955,1.882,2.687,2.601,2.766,2.241,1.986,2.593,2.903,2.492,2.86,1.426,1.351,1.229,1.589,1.915,1.963,2.069,1.354,1.396,1.709,2.251,2.355,2.644,2.495,1.758,2.982,8.697,5.017,5.584,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,5C,A,5C-A,WA-TSHE-M-5C-A,,,2013,0,0,0,0,0,119,RINGWIDTH,1,NotAFile,3/4/14 16:20,                   ,,1870 12661 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],170.0000 9906.0000 146.0000 364.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,199.7428,4.769,4.444,3.219,4.335,2.263,3.368,3.432,2.233,1.336,2.208,1.857,2.957,2.577,4.086,3.2,3.966,3.904,3.127,2.324,2.323,2.427,1.916,1.555,0.923,1.013,1.645,0.844,0.592,0.549,0.508,2.007,1.539,0.819,1.217,1.157,1.138,1.664,1.706,1.519,1.182,1.435,0.993,1.353,1.014,1.563,1.459,0.846,1.353,1.374,1.586,1.671,2.01,1.523,0.952,2.412,1.65,1.1,0.951,0.612,1.67,1.756,1.185,1.375,1.013,1.248,0.845,0.718,0.612,0.945,1.155,0.923,0.845,0.862,0.611,0.924,1.388,0.695,0.821,0.694,0.966,0.609,0.819,0.82,0.547,0.798,0.945,0.651,1.031,0.901,0.857,1.044,1.313,1.334,1.178,0.496,0.705,1.521,1.044,1.83,1.501,1.819,1.359,1.687,1.772,2.043,2.061,1.497,1.718,1.92,1.953,2.118,1.685,1.713,1.223,2.141,1.583,0.156,1.389,1.53
WA,TSHE,M,5C,B,5C-B,WA-TSHE-M-5C-B,,,2013,0,0,0,0,0,75,RINGWIDTH,1,NotAFile,3/4/14 16:20,                   ,,1870 12661 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1664.0000 12516.0000 1544.0000 3332.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,194.3629,3.573,4.739,4.361,3.812,3.005,2.865,2.985,1.563,1.754,1.392,1.521,1.938,1.616,1.808,1.563,1.706,1.68,1.669,1.335,1.64,1.626,1.138,1.308,1.41,1.527,2.184,1.943,1.491,1.502,2.264,2.104,1.258,1.608,1.418,1.587,1.672,2.53,2.265,1.91,2.031,1.285,1.54,2.717,2.871,1.357,1.417,1.962,1.481,1.915,1.796,2.053,1.723,2.195,3.13,2.582,2.275,2.631,2.433,3.783,4.472,3.392,2.38,1.662,2.006,1.969,1.97,1.78,2.333,2.065,2.699,2.111,1.939,5.004,1.411,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,5N,A,5N-A,WA-TSHE-M-5N-A,,,2013,0,0,0,0,0,94,RINGWIDTH,1,NotAFile,3/4/14 16:46,                   ,,1988 10082 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],147.0000 9801.0000 213.0000 1092.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,183.1573,3.348,3.82,2.203,1.868,1.956,2.202,2.651,2.964,2.916,1.351,1.295,1.681,2.054,2.186,1.901,1.619,1.854,1.801,1.387,1.548,2,1.989,1.426,1.984,1.696,2.027,1.948,1.3,1.409,2.157,1.931,1.27,2.225,1.617,1.518,2.006,1.42,1.199,0.746,1.241,1.031,1.419,1.93,1.622,0.696,1.146,1.379,1.193,1.287,1.48,1.674,1.556,1.871,2.064,1.745,1.98,1.54,0.895,2.822,2.3,1.601,1.269,0.837,1.141,0.794,0.956,0.848,1.562,1.187,0.812,0.587,1.787,1.561,1.255,1.791,0.04,1.24,1.436,1.747,0.642,1.569,1.78,1.818,1.339,2.123,2.63,3.066,2.408,3.42,3.912,3.909,4.169,4.488,2.356,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,5N,B,5N-B,WA-TSHE-M-5N-B,,,2013,0,0,0,0,0,95,RINGWIDTH,1,NotAFile,3/4/14 16:46,                   ,,1988 10082 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1656.0000 8996.0000 1726.0000 270.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,184.6604,2.137,2.131,1.815,1.725,1.202,1.121,0.798,2.222,2.222,1.311,1.459,1.586,1.735,2.243,2.15,2.26,3.195,2.051,1.354,1.333,1.628,1.46,1.201,1.739,1.185,1.967,2.073,2.01,1.946,2.538,2.362,2.186,3.482,3.062,1.947,2.177,1.514,1.5,1.288,1.584,1.288,1.182,1.543,1.905,1.058,1.354,1.501,1.097,1.093,1.137,1.183,1.034,1.666,1.16,1.245,1.94,1.621,1.239,1.993,1.947,2.102,2.023,1.827,1.683,1.742,1.147,1.462,1.031,0.957,0.973,0.782,1.457,1.1,1.287,1.325,1.371,1.603,1.431,1.322,1.736,1.146,0.397,0.414,1.543,1.751,1.633,1.841,1.742,2.139,2.543,3.593,3.411,4.695,4.699,3.94,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,6C,A,6C-A,WA-TSHE-M-6C-A,,,2013,0,0,0,0,0,100,RINGWIDTH,1,NotAFile,3/4/14 17:00,                   ,,2106 10456 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],402.0000 10308.0000 225.0000 177.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,214.4188,0.189,0.486,0.399,0.401,0.401,0.358,0.421,0.315,0.21,0.296,0.295,0.298,0.429,0.19,0.349,0.558,0.821,0.71,0.528,0.762,0.496,0.614,0.825,0.613,0.655,1.478,1.986,1.607,2.897,3.271,2.518,3.47,4.063,2.202,2.322,1.325,1.67,1.232,1.525,1.114,1.616,1.838,1.469,0.901,0.86,1.086,1.364,1.112,1.048,1.258,1.889,1.458,2.726,1.921,2.281,2.389,1.583,3.398,3.878,4.123,3.92,2.574,3.794,4.373,5.327,4.734,5.917,4.624,4.512,4.888,6.235,6.285,5.306,6.149,4.317,6.594,5.766,2.322,3.998,3.398,3.149,3.384,2.942,2.879,3.258,2.136,1.418,1.163,1.439,1.122,0.655,0.889,0.719,0.38,0.719,1.032,0.926,1.116,1.432,1.16,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,6C,B,6C-B,WA-TSHE-M-6C-B,,,2013,0,0,0,0,0,81,RINGWIDTH,1,NotAFile,3/4/14 17:00,                   ,,2106 10456 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1902.0000 8493.0000 1740.0000 1572.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,146.498,0.209,0.215,0.229,0.216,0.249,0.399,0.275,0.571,0.381,0.639,0.863,0.719,0.656,0.423,0.781,0.949,1.075,1.651,1.052,0.756,1.243,1.752,0.986,1.4,1.857,1.144,2.017,2.009,1.163,1.593,0.874,1.007,0.727,1.183,0.776,0.799,0.84,0.969,0.578,0.804,0.685,1.059,0.686,0.669,0.732,1.13,1.173,1.047,0.839,1.207,1.377,0.624,0.994,0.906,1.281,1.218,1.382,1.476,1.161,2.49,1.584,3.39,3.454,2.891,2.703,3.783,4.378,3.757,2.844,3.314,6.094,5.432,2.444,3.944,3.84,3.637,3.519,3.618,5.359,6.668,0.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,6N,A,6N-A,WA-TSHE-M-6N-A,,,2013,0,0,0,0,0,73,RINGWIDTH,1,NotAFile,3/4/14 17:18,                   ,,1988 13173 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],291.0000 8535.0000 360.0000 312.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,174.0163,3.105,3.379,3.47,2.871,1.841,2.264,1.986,2.156,1.735,1.651,1.1,1.712,1.862,1.881,1.554,1.418,1.306,1.455,2.36,1.169,2.029,2.263,1.904,1.142,0.846,0.994,0.825,1.078,0.55,1.037,1.037,1.248,2.341,2.837,2.299,3.073,1.537,1.538,1.351,1.838,1.161,1.267,1.561,1.342,0.879,1.185,1.493,1.451,1.265,1.389,1.672,2.279,2.854,3.032,2.757,1.936,1.718,1.593,2.727,3.632,3.131,2.8,2.632,2.874,2.609,3.2,3.408,3.797,3.066,3.99,3.819,4.722,5.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,6N,B,6N-B,WA-TSHE-M-6N-B,,,2013,0,0,0,0,0,86,RINGWIDTH,1,NotAFile,3/4/14 17:18,                   ,,1988 13173 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1742.0000 13104.0000 1706.0000 4294.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,185.0795,3.612,4.145,3.024,2.984,4.655,2.361,2.741,2.281,2.476,2.201,1.799,2.029,2.518,2.37,1.799,1.65,1.248,1.65,1.481,1.543,1.52,1.076,1.034,0.568,0.885,1.076,1.161,1.406,1.532,1.64,1.322,2.089,2.553,2.135,3.174,1.984,2.579,1.524,2.071,1.617,1.697,2.055,2.113,1.169,1.846,1.42,1.894,1.394,1.73,2.005,2.011,1.876,1.83,2.3,1.767,2.069,1.816,2.78,2.846,2.511,1.9,2.114,1.815,1.732,2.68,2.716,3.147,2.892,2.919,2.689,2.948,2.983,2.822,3.808,2.196,2.459,4,2.105,1.984,1.54,1.35,1.162,1.739,1.635,1.856,1.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,6N,A,6N-A,WA-TSHE-M-6N-A,,,2013,0,0,0,0,0,73,RINGWIDTH,1,WA-TSHE-M-6N-BOTH.tif,3/4/14 18:03,                   ,,1988 13173 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],291.0000 8535.0000 360.0000 312.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,174.0163,3.105,3.379,3.47,2.871,1.841,2.264,1.986,2.156,1.735,1.651,1.1,1.712,1.862,1.881,1.554,1.418,1.306,1.455,2.36,1.169,2.029,2.263,1.904,1.142,0.846,0.994,0.825,1.078,0.55,1.037,1.037,1.248,2.341,2.837,2.299,3.073,1.537,1.538,1.351,1.838,1.161,1.267,1.561,1.342,0.879,1.185,1.493,1.451,1.265,1.389,1.672,2.279,2.854,3.032,2.757,1.936,1.718,1.593,2.727,3.632,3.131,2.8,2.632,2.874,2.609,3.2,3.408,3.797,3.066,3.99,3.819,4.722,5.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,6N,B,6N-B,WA-TSHE-M-6N-B,,,2013,0,0,0,0,0,88,RINGWIDTH,1,WA-TSHE-M-6N-BOTH.tif,3/4/14 18:03,                   ,,1988 13173 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1742.0000 13104.0000 1706.0000 4294.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,185.0795,3.612,4.145,3.024,2.984,2.181,2.466,2.361,2.741,2.281,2.476,2.201,1.799,2.029,2.518,2.37,1.799,1.65,1.248,1.65,1.481,1.543,1.52,1.076,1.034,0.568,0.885,1.076,1.161,1.406,1.532,1.64,1.322,2.089,2.553,2.135,3.174,1.984,2.579,1.524,2.071,1.617,1.697,2.055,2.113,1.169,1.846,1.42,1.894,1.394,1.73,2.005,2.011,1.876,1.83,2.3,1.767,2.069,1.816,2.78,2.846,2.511,1.9,2.114,1.815,1.732,2.68,2.716,3.147,2.892,2.919,2.689,2.948,2.983,2.822,3.808,2.196,2.459,2.166,1.839,2.105,1.984,1.54,1.35,1.162,1.739,1.635,1.856,1.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,6C,A,6C-A,WA-TSHE-M-6C-A,,,2013,0,0,0,0,0,100,RINGWIDTH,1,WA-TSHE-M-6C-BOTH.tif,3/4/14 18:03,                   ,,2106 10456 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],402.0000 10308.0000 225.0000 177.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,214.4188,0.189,0.486,0.399,0.401,0.401,0.358,0.421,0.315,0.21,0.296,0.295,0.298,0.429,0.19,0.349,0.558,0.821,0.71,0.528,0.762,0.496,0.614,0.825,0.613,0.655,1.478,1.986,1.607,2.897,3.271,2.518,3.47,4.063,2.202,2.322,1.325,1.67,1.232,1.525,1.114,1.616,1.838,1.469,0.901,0.86,1.086,1.364,1.112,1.048,1.258,1.889,1.458,2.726,1.921,2.281,2.389,1.583,3.398,3.878,4.123,3.92,2.574,3.794,4.373,5.327,4.734,5.917,4.624,4.512,4.888,6.235,6.285,5.306,6.149,4.317,6.594,5.766,2.322,3.998,3.398,3.149,3.384,2.942,2.879,3.258,2.136,1.418,1.163,1.439,1.122,0.655,0.889,0.719,0.38,0.719,1.032,0.926,1.116,1.432,1.16,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,6C,B,6C-B,WA-TSHE-M-6C-B,,,2013,0,0,0,0,0,81,RINGWIDTH,1,WA-TSHE-M-6C-BOTH.tif,3/4/14 18:03,                   ,,2106 10456 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1902.0000 8493.0000 1740.0000 1572.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,146.498,0.209,0.215,0.229,0.216,0.249,0.399,0.275,0.571,0.381,0.639,0.863,0.719,0.656,0.423,0.781,0.949,1.075,1.651,1.052,0.756,1.243,1.752,0.986,1.4,1.857,1.144,2.017,2.009,1.163,1.593,0.874,1.007,0.727,1.183,0.776,0.799,0.84,0.969,0.578,0.804,0.685,1.059,0.686,0.669,0.732,1.13,1.173,1.047,0.839,1.207,1.377,0.624,0.994,0.906,1.281,1.218,1.382,1.476,1.161,2.49,1.584,3.39,3.454,2.891,2.703,3.783,4.378,3.757,2.844,3.314,6.094,5.432,2.444,3.944,3.84,3.637,3.519,3.618,5.359,6.668,0.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
