State,Species,Elev,Tree,Core,TreeID,TreeName,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,A-T1,A,A-T1-A,PIPO-L-A-T1-A,,,2014,0,0,0,0,0,107,RINGWIDTH,1,NotAFile,3/16/15 12:21,                   ,,1988 9786 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],196.0000 9442.0000 212.0000 1540.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,167.2178,0.349,0.254,0.423,0.783,0.486,0.591,0.461,0.564,0.592,0.633,0.337,0.116,0.116,0.358,0.333,1.148,0.543,1.089,0.239,1.3,0.723,0.6,0.654,0.549,0.414,0.457,1.023,0.973,1.458,0.802,1.034,1.223,0.706,0.689,0.668,0.563,0.75,0.503,1.026,0.706,1.018,0.665,0.742,0.736,1.05,0.949,1.104,0.939,1.189,0.772,0.167,0.437,0.691,0.548,0.674,0.115,0.977,1.529,0.737,1.093,1.141,0.93,1.517,0.442,1.053,2.069,0.972,1.332,1.009,1.411,1.324,2.364,1.804,2.566,2.221,1.668,2.452,2.306,2.221,2.01,1.714,1.904,3.343,2.01,3.47,3.272,2.406,3.593,3.606,3.53,2.769,4.457,3.586,4.988,5.226,4.558,3.997,3.259,3.786,3.42,4.253,3.847,3.883,3.485,2.435,1.236,0.295,,
CO,PIPO,L,A-T1,B,A-T1-B,PIPO-L-A-T1-B,,,2014,0,0,0,0,0,97,RINGWIDTH,1,NotAFile,3/16/15 12:21,                   ,,1988 9786 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1686.0000 7749.0000 1602.0000 261.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,158.4665,0.571,0.444,0.444,0.931,0.55,0.677,0.529,0.592,0.423,0.604,0.338,0.274,0.115,0.444,0.401,1.328,0.78,1.641,0.337,1.22,0.961,0.788,0.957,0.627,0.622,0.494,1.498,1.014,1.586,1.1,0.952,1.523,0.862,0.604,0.582,0.686,0.748,0.601,1.058,0.748,1.17,0.912,0.933,0.872,1.264,1.256,1.275,1.012,1.397,0.998,0.209,0.547,0.932,0.77,1.007,0.221,1.117,2.092,0.935,1.065,1.548,1.141,2.061,0.724,1.15,1.599,1.457,1.538,1.417,1.66,1.772,2.06,2.128,2.315,2.547,1.659,2.365,2.875,2.017,2.315,1.596,1.853,2.633,2.056,3.115,2.609,2.688,3.286,2.698,2.886,3.079,5.378,3.388,5.256,5.658,4.238,1.477,,,,,,,,,,,,
CO,PIPO,L,A-T8,A,A-T8-A,PIPO-L-A-T8-A,,,2014,0,0,0,0,0,93,RINGWIDTH,1,NotAFile,3/16/15 12:36,                   ,,1378 6380 8 RGB,Intr 0.031652 0.031742 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],165.0000 3864.0000 273.0000 204.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,116.2264,0.44,0.283,0.315,0.579,0.553,0.445,0.407,0.592,0.497,0.838,0.533,0.462,0.114,0.564,0.466,0.932,0.563,0.976,0.443,1.238,0.771,0.876,0.915,0.914,0.693,0.693,0.787,0.913,1.075,0.601,0.694,0.944,0.777,0.686,0.751,0.657,0.72,0.219,0.876,0.751,0.72,1.033,0.652,0.777,0.559,1.001,1.123,1.087,0.693,0.598,0.535,0.365,0.642,0.41,0.419,0.138,0.982,1.406,0.896,1.325,1.001,1.185,1.533,0.678,1.098,1.232,0.994,1.294,1.159,1.69,1.401,1.639,1.55,2.235,1.729,1.599,2.059,1.83,1.807,1.54,1.305,1.325,1.933,1.491,2.348,2.35,1.788,2.633,2.916,2.526,2.584,4.604,1.022,,,,,,,,,,,,,,,,
CO,PIPO,L,A-T8,B,A-T8-B,PIPO-L-A-T8-B,,,2014,0,0,0,0,0,100,RINGWIDTH,1,NotAFile,3/16/15 12:36,                   ,,1378 6380 8 RGB,Intr 0.031652 0.031742 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1128.0000 4916.0000 1192.0000 824.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,129.9045,0.691,0.501,0.375,0.78,0.593,0.46,0.399,0.582,0.61,0.766,0.491,0.377,0.088,0.528,0.5,1.1,0.789,0.974,0.465,1.301,0.929,0.682,0.867,0.929,0.841,0.907,0.995,0.78,1.061,0.812,0.843,1.03,0.905,0.817,0.76,0.602,0.697,0.317,0.824,0.952,0.825,0.856,0.602,0.852,0.662,1.26,1.1,1.358,0.919,0.916,0.82,0.597,0.691,0.565,0.628,0.222,1.362,1.742,1.202,1.484,1.032,1.394,1.646,0.762,1.152,1.416,0.888,1.111,1.206,1.111,1.587,1.65,2.061,2.249,1.46,1.714,1.999,1.714,1.777,1.365,1.079,1.365,1.714,1.395,1.894,2.074,1.686,2.591,2.185,2.307,1.995,2.899,2.571,4.796,4.073,3.996,3.263,2.431,2.439,3.226,,,,,,,,,
CO,PIPO,L,A-T10,A,A-T10-A,PIPO-L-A-T10-A,,,2014,0,0,0,0,0,99,RINGWIDTH,1,NotAFile,3/16/15 13:33,                   ,,2008 8329 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],294.0000 6254.0000 226.0000 616.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,118.2056,0.822,0.839,0.844,1.615,0.965,0.985,0.901,0.983,0.84,0.825,0.575,0.413,0.071,0.503,0.418,0.627,0.535,0.766,0.162,1.086,0.816,0.666,0.729,0.55,0.264,0.282,0.531,0.674,0.761,0.486,0.444,0.638,0.428,0.148,0.281,0.506,0.338,0.486,0.401,0.697,0.311,0.538,0.275,0.444,0.243,0.493,0.484,0.758,0.526,0.59,0.463,0.225,0.408,0.304,0.594,0.074,0.808,1.379,0.654,1.028,0.838,0.794,1.258,0.337,0.694,1.536,0.945,1.003,0.922,1.024,1.291,1.848,1.739,2.753,1.539,1.708,2.34,2.614,2.593,1.961,1.212,1.588,2.419,1.323,2.936,2.873,1.966,3.278,3.467,2.228,2.194,3.447,1.87,3.932,3.202,3.695,3.046,2.321,0.743,,,,,,,,,,
CO,PIPO,L,A-T10,B,A-T10-B,PIPO-L-A-T10-B,,,2014,0,0,0,0,0,91,RINGWIDTH,1,NotAFile,3/16/15 13:33,                   ,,2008 8329 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1742.0000 7792.0000 1714.0000 906.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,145.7187,1.406,1.925,1.65,2.581,2.155,2.243,1.522,1.492,1.998,1.474,0.724,0.677,0.073,1.178,1.58,2.549,1.988,2.327,0.719,2.051,0.994,1.037,1.227,1.206,0.614,0.719,1.122,1.037,1.354,1.078,1.227,1.587,0.803,0.846,0.803,0.759,0.609,0.073,0.688,1.163,0.712,0.712,0.503,0.745,0.621,0.972,1.027,1.19,0.838,1.134,0.568,0.44,0.501,0.417,0.527,0.148,1.435,1.691,0.867,1.227,1.224,1.159,1.387,0.522,1.089,2.087,1.497,1.24,1.473,2.381,1.952,2.359,2.342,2.954,2.421,2.39,3.103,3.911,2.497,1.983,1.499,2.459,2.63,2.004,3.329,3.815,3.108,4.706,4.795,3.54,3.136,,,,,,,,,,,,,,,,,,
CO,PIPO,L,B-T1,A,B-T1-A,PIPO-L-B-T1-A,,,2014,0,0,0,0,0,90,RINGWIDTH,1,NotAFile,3/16/15 13:47,                   ,,2008 7403 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],183.0000 7236.0000 222.0000 261.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,146.799,0.275,0.423,0.231,0.87,1.227,0.655,0.635,0.55,0.824,1.014,0.42,0.225,0.03,0.338,0.539,1.657,1.121,1.311,0.571,1.693,0.761,0.656,1.714,1.268,0.887,1.204,1.709,1.73,2.637,1.651,2.201,2.158,2.324,1.679,1.328,1.095,0.719,0.106,0.677,1.31,0.884,1.213,0.796,1.176,0.834,1.792,1.667,1.25,1.48,1.542,1.301,1.289,1.132,1.319,1.153,0.289,1.56,1.95,1.289,1.48,1.521,1.459,2.001,0.643,1.078,2.259,1.807,1.527,1.674,2.093,2.273,2.645,2.385,3.315,3.139,2.532,3.207,3.236,2.967,2.635,1.955,2.799,3.682,1.639,3.382,3.718,3.389,4.106,4.003,2.448,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,B-T1,B,B-T1-B,PIPO-L-B-T1-B,,,2014,0,0,0,0,0,92,RINGWIDTH,1,NotAFile,3/16/15 13:47,                   ,,2008 7403 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1698.0000 7118.0000 1858.0000 758.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,134.6289,0.137,0.162,0.134,0.718,0.758,0.637,0.47,0.489,0.556,0.74,0.29,0.228,0.292,0.04,0.416,1.312,0.939,1.09,0.252,1.173,0.681,0.665,1.423,1.07,0.757,0.902,1.468,1.489,2.018,1.247,1.629,1.778,1.727,0.84,1.047,0.649,0.512,0.073,0.483,0.997,0.686,0.979,0.655,1.069,0.643,1.551,1.298,1.045,1.231,1.232,0.983,0.868,1.078,0.802,0.868,0.203,1.13,1.677,1.298,1.463,1.209,1.534,1.493,0.513,1.028,2.002,1.388,1.445,1.294,1.759,1.849,2.076,1.933,2.828,2.318,2.375,2.814,3.071,1.902,1.972,1.381,2.057,2.957,1.748,3.009,3.602,3.542,4.886,5.322,4.199,5.38,0.231,,,,,,,,,,,,,,,,,
CO,PIPO,L,B-T8,A,B-T8-A,PIPO-L-B-T8-A,,,2014,0,0,0,0,0,88,RINGWIDTH,1,NotAFile,3/16/15 13:57,                   ,,1969 8526 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],303.0000 6813.0000 231.0000 813.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,126.9775,0.135,0.168,0.144,0.541,0.545,0.413,0.477,0.544,0.754,0.965,0.44,0.348,0.05,0.521,0.518,1.298,0.694,1.464,0.371,1.463,1.112,0.887,1.464,0.996,0.784,0.738,1.032,0.914,1.167,0.563,0.798,1.899,1.432,1.195,1.156,1.317,1.048,0.11,0.741,0.992,0.768,1.041,0.524,0.907,0.547,1.572,1.317,1.811,1.583,1.686,1.06,1.027,1.155,0.692,1.246,0.383,1.129,2.131,1.323,1.349,1.142,1.05,1.477,0.443,1.05,1.279,1.026,1.028,0.859,1.053,1.538,1.36,2.013,2.52,1.958,1.752,2.082,1.8,2.105,2.101,1.099,1.78,2.377,1.445,2.408,3.056,2.885,1.441,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,B-T8,B,B-T8-B,PIPO-L-B-T8-B,,,2014,0,0,0,0,0,92,RINGWIDTH,1,NotAFile,3/16/15 13:57,                   ,,1969 8526 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1707.0000 6414.0000 1461.0000 105.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,133.6082,0.296,0.208,0.239,0.882,0.696,0.761,0.606,0.811,0.931,1.286,0.547,0.508,0.038,0.736,0.666,1.263,1.071,1.456,0.458,1.707,1.335,1.171,1.557,1.265,0.951,0.698,1.079,1.268,1.664,0.739,1.034,2.361,1.54,1.288,1.308,1.539,0.97,0.19,0.928,1.223,0.943,1.258,0.736,1.349,0.717,1.647,1.945,1.818,1.29,1.535,1.05,1.091,1.026,0.968,1.177,0.357,1.504,2.026,0.982,1.502,1.204,1.053,1.678,0.671,1.044,1.495,1.189,1.483,0.94,1.291,1.551,1.706,1.351,2.43,2.166,1.497,2.173,1.948,2.157,1.304,1.241,1.354,2.993,1.357,2.741,2.612,2.561,3.757,3.338,3.14,3.898,1.86,,,,,,,,,,,,,,,,,
