Year,ID1,ID2,Latitude,Longitude,Elevation,TmaxAn,TminAn,TaveAn,TaveWin,TaveGS,PPTGS,PPTAn,PPTWin,DD5_An,NFFDGS,NFFDAn,PASAn,ErefGS,CMDGS,CMDAn
1901,CO,PIPO-H,37.4732,-108.2355,2682,26.2,-12.2,5.977777778,-0.483333333,10.46666667,212,297,85,1184,105,107,87,748,536,536
1902,CO,PIPO-H,37.4732,-108.2355,2682,25.6,-11.8,5.633333333,-0.216666667,11.48333333,253,443,190,1409,124,144,95,777,522,567
1903,CO,PIPO-H,37.4732,-108.2355,2682,24.8,-14.2,4.2,-2.083333333,10.48333333,347,638,291,1237,127,146,222,696,349,384
1904,CO,PIPO-H,37.4732,-108.2355,2682,23.8,-13.7,5.408333333,-0.033333333,10.85,270,401,131,1289,125,143,57,720,450,542
1905,CO,PIPO-H,37.4732,-108.2355,2682,24.5,-11.7,4.433333333,-1.316666667,10.18333333,289,713,424,1181,117,134,259,709,425,461
1906,CO,PIPO-H,37.4732,-108.2355,2682,22.2,-14.2,4.208333333,-1.5,9.916666667,325,651,326,1111,117,129,222,692,367,424
1907,CO,PIPO-H,37.4732,-108.2355,2682,23.7,-8.1,5.241666667,0.766666667,9.716666667,359,770,411,1109,110,132,170,681,326,361
1908,CO,PIPO-H,37.4732,-108.2355,2682,23.8,-11.3,4.383333333,-0.933333333,9.7,363,679,316,1130,106,129,217,697,334,366
1909,CO,PIPO-H,37.4732,-108.2355,2682,24.3,-13,4.008333333,-2.066666667,10.08333333,346,764,418,1155,116,126,281,692,347,347
1910,CO,PIPO-H,37.4732,-108.2355,2682,25.1,-16.6,4.858333333,-1.85,11.56666667,179,472,293,1419,129,146,203,761,580,667
1911,CO,PIPO-H,37.4732,-108.2355,2682,23.2,-9.7,5.375,0.25,10.5,374,886,512,1238,127,151,204,694,320,320
1912,CO,PIPO-H,37.4732,-108.2355,2682,22.8,-13.6,3.716666667,-2.116666667,9.55,212,504,292,1069,111,126,153,686,476,476
1913,CO,PIPO-H,37.4732,-108.2355,2682,24,-14.1,3.775,-2.983333333,10.53333333,258,532,274,1187,122,134,193,721,464,464
1914,CO,PIPO-H,37.4732,-108.2355,2682,22.9,-13.5,4.533333333,-1.783333333,10.85,234,554,320,1234,132,146,187,704,470,518
1915,CO,PIPO-H,37.4732,-108.2355,2682,22.5,-13.8,3.7,-2.183333333,9.583333333,292,595,303,1055,113,129,212,680,389,422
1916,CO,PIPO-H,37.4732,-108.2355,2682,23,-10.6,4.708333333,-0.583333333,10,257,584,327,1152,108,123,182,707,450,516
1917,CO,PIPO-H,37.4732,-108.2355,2682,24.8,-14.1,3.25,-3.166666667,9.666666667,229,473,244,1122,110,124,178,700,472,472
1918,CO,PIPO-H,37.4732,-108.2355,2682,24.5,-12.9,5.166666667,-0.1,10.43333333,281,513,232,1269,119,133,139,713,432,538
1919,CO,PIPO-H,37.4732,-108.2355,2682,24.5,-16.3,3.975,-3.283333333,11.23333333,337,635,298,1330,132,149,240,726,388,411
1920,CO,PIPO-H,37.4732,-108.2355,2682,24.2,-11.3,4.133333333,-1.266666667,9.533333333,293,678,385,1084,114,125,251,698,404,404
1921,CO,PIPO-H,37.4732,-108.2355,2682,23.3,-12.4,4.708333333,-0.75,10.16666667,297,492,195,1177,116,131,94,703,408,422
1922,CO,PIPO-H,37.4732,-108.2355,2682,24.8,-14.4,4.658333333,-1.25,10.56666667,201,520,319,1311,119,137,220,730,530,573
1923,CO,PIPO-H,37.4732,-108.2355,2682,24.1,-11.6,4.416666667,-1.216666667,10.05,319,599,280,1153,113,124,185,703,385,439
1924,CO,PIPO-H,37.4732,-108.2355,2682,24.4,-15.9,4.225,-2.116666667,10.56666667,175,431,256,1208,113,125,190,751,577,607
1925,CO,PIPO-H,37.4732,-108.2355,2682,24.3,-16.3,4.466666667,-1.933333333,10.86666667,360,606,246,1257,129,141,151,712,363,404
