Year,ID1,ID2,Latitude,Longitude,Elevation,TmaxAn,TminAn,TaveAn,TaveWin,TaveGS,PPTGS,PPTAn,PPTWin,DD5_An,NFFDGS,NFFDAn,PASAn,ErefGS,CMDGS,CMDAn
1926,CO,PIPO-H,37.4732,-108.2355,2682,23.5,-13.5,4.033333333,-2.016666667,10.08333333,342,592,250,1127,121,134,155,690,367,367
1927,CO,PIPO-H,37.4732,-108.2355,2682,22.5,-13.7,4.025,-1.316666667,9.366666667,329,646,317,1044,115,131,214,664,362,395
1928,CO,PIPO-H,37.4732,-108.2355,2682,24.2,-15.8,3.808333333,-2.166666667,9.783333333,206,480,274,1108,110,122,185,706,499,524
1929,CO,PIPO-H,37.4732,-108.2355,2682,24.9,-14.2,3.175,-3.616666667,9.966666667,405,778,373,1165,111,123,283,710,318,318
1930,CO,PIPO-H,37.4732,-108.2355,2682,23.9,-15,4.475,-1.783333333,10.73333333,320,553,233,1234,111,125,167,749,428,456
1931,CO,PIPO-H,37.4732,-108.2355,2682,25.3,-15,4.708333333,-1.7,11.11666667,284,487,203,1302,120,129,131,752,468,518
1932,CO,PIPO-H,37.4732,-108.2355,2682,24,-17,3.766666667,-2.766666667,10.3,346,714,368,1192,107,122,254,733,385,385
1933,CO,PIPO-H,37.4732,-108.2355,2682,25.1,-18.5,3.433333333,-3.416666667,10.28333333,322,548,226,1255,114,123,222,728,407,452
1934,CO,PIPO-H,37.4732,-108.2355,2682,25.7,-10.3,6.308333333,1.083333333,11.53333333,231,459,228,1438,118,139,79,772,541,634
1935,CO,PIPO-H,37.4732,-108.2355,2682,22.6,-10.7,4.108333333,-1.35,9.566666667,342,711,369,1130,109,123,308,680,345,407
1936,CO,PIPO-H,37.4732,-108.2355,2682,22.9,-12.6,4.166666667,-2.516666667,10.85,299,557,258,1245,123,131,170,723,425,439
1937,CO,PIPO-H,37.4732,-108.2355,2682,24.8,-19.5,3.933333333,-2.683333333,10.55,242,617,375,1233,111,123,263,750,507,507
1938,CO,PIPO-H,37.4732,-108.2355,2682,24,-11.1,4.558333333,-0.866666667,9.983333333,277,623,346,1155,115,130,231,703,427,482
1939,CO,PIPO-H,37.4732,-108.2355,2682,23.8,-16,4,-2.8,10.8,219,553,334,1229,123,134,214,728,516,516
1940,CO,PIPO-H,37.4732,-108.2355,2682,25.2,-12.7,4.85,-1.5,11.2,344,644,300,1323,131,142,225,740,415,465
1941,CO,PIPO-H,37.4732,-108.2355,2682,22.9,-11.1,4.416666667,-0.6,9.433333333,397,876,479,1094,119,137,307,666,318,327
1942,CO,PIPO-H,37.4732,-108.2355,2682,23.6,-13.5,3.933333333,-2.133333333,10,162,514,352,1115,105,120,210,716,554,554
1943,CO,PIPO-H,37.4732,-108.2355,2682,24,-11.9,5.141666667,-0.583333333,10.86666667,312,686,374,1244,118,132,205,730,417,449
1944,CO,PIPO-H,37.4732,-108.2355,2682,23.6,-12.2,3.933333333,-1.6,9.466666667,272,611,339,1077,105,118,247,699,428,428
1945,CO,PIPO-H,37.4732,-108.2355,2682,23.5,-12.7,4.191666667,-1.2,9.583333333,182,568,386,1148,103,122,290,696,518,543
1946,CO,PIPO-H,37.4732,-108.2355,2682,24.1,-16.1,4.608333333,-1.8,11.01666667,341,592,251,1295,122,139,154,732,389,393
1947,CO,PIPO-H,37.4732,-108.2355,2682,24.6,-14.5,4.691666667,-1.116666667,10.5,328,643,315,1202,120,131,150,714,387,387
1948,CO,PIPO-H,37.4732,-108.2355,2682,24.3,-12.8,4.15,-2.25,10.55,265,649,384,1219,116,131,235,738,472,472
1949,CO,PIPO-H,37.4732,-108.2355,2682,23.9,-16.2,3.741666667,-2.933333333,10.41666667,305,673,368,1183,117,126,263,722,416,416
1950,CO,PIPO-H,37.4732,-108.2355,2682,23.3,-13.4,4.416666667,-0.85,9.683333333,219,497,278,1070,98,109,145,727,508,528
1951,CO,PIPO-H,37.4732,-108.2355,2682,25.7,-11.7,5.216666667,0.05,10.38333333,261,468,207,1281,107,125,136,736,477,546
1952,CO,PIPO-H,37.4732,-108.2355,2682,23.5,-13.7,4.075,-2.716666667,10.86666667,233,625,392,1253,127,138,282,719,485,489
1953,CO,PIPO-H,37.4732,-108.2355,2682,23.8,-12.5,4.658333333,-0.833333333,10.15,217,469,252,1239,113,124,184,707,492,568
1954,CO,PIPO-H,37.4732,-108.2355,2682,24.2,-13.4,5.608333333,-0.2,11.41666667,309,619,310,1358,129,145,124,740,431,459
1955,CO,PIPO-H,37.4732,-108.2355,2682,23.6,-15.5,4.308333333,-1.433333333,10.05,266,514,248,1221,113,131,179,706,440,471
1956,CO,PIPO-H,37.4732,-108.2355,2682,24.1,-13.1,5.291666667,-0.466666667,11.05,119,395,276,1335,119,133,134,767,650,718
1957,CO,PIPO-H,37.4732,-108.2355,2682,22.7,-14.2,4.508333333,-0.766666667,9.783333333,409,683,274,1147,112,125,182,684,287,315
1958,CO,PIPO-H,37.4732,-108.2355,2682,25.4,-12.6,5,-1.133333333,11.13333333,199,649,450,1355,125,145,249,761,562,562
1959,CO,PIPO-H,37.4732,-108.2355,2682,25,-12,5.341666667,-0.316666667,11,278,470,192,1321,124,138,103,741,464,485
1960,CO,PIPO-H,37.4732,-108.2355,2682,25.8,-14.5,4.85,-1.583333333,11.28333333,204,604,400,1342,120,133,211,772,566,571
1961,CO,PIPO-H,37.4732,-108.2355,2682,24.4,-13.9,4.925,-0.783333333,10.63333333,271,625,354,1259,119,137,171,729,458,463
1962,CO,PIPO-H,37.4732,-108.2355,2682,24.8,-14.8,4.408333333,-2.116666667,10.93333333,199,488,289,1245,119,132,157,748,549,549
1963,CO,PIPO-H,37.4732,-108.2355,2682,25.4,-16,5.416666667,-0.633333333,11.46666667,247,555,308,1425,129,148,142,739,492,492
1964,CO,PIPO-H,37.4732,-108.2355,2682,24.5,-15,4.3,-1.683333333,10.28333333,333,537,204,1275,121,141,163,698,384,406
1965,CO,PIPO-H,37.4732,-108.2355,2682,23.1,-12.7,4.166666667,-1.316666667,9.65,407,731,324,1120,118,130,264,661,271,345
1966,CO,PIPO-H,37.4732,-108.2355,2682,25,-14.6,5.225,-0.966666667,11.41666667,240,577,337,1406,127,142,154,751,511,546
1967,CO,PIPO-H,37.4732,-108.2355,2682,24,-13.6,4.975,-0.3,10.25,281,499,218,1228,120,135,126,693,412,498
1968,CO,PIPO-H,37.4732,-108.2355,2682,22.8,-14.4,4.2,-1.133333333,9.533333333,260,515,255,1119,112,125,214,682,423,525
1969,CO,PIPO-H,37.4732,-108.2355,2682,24.2,-14.4,4.6,-2,11.2,306,705,399,1320,129,144,262,715,409,431
1970,CO,PIPO-H,37.4732,-108.2355,2682,24.2,-12.1,4.425,-1.2,10.05,306,611,305,1175,115,129,177,699,408,408
1971,CO,PIPO-H,37.4732,-108.2355,2682,25,-12.9,4.333333333,-1.716666667,10.38333333,332,536,204,1186,108,118,131,731,398,398
1972,CO,PIPO-H,37.4732,-108.2355,2682,25.1,-12.6,5.091666667,-0.8,10.98333333,248,508,260,1294,120,134,125,749,500,561
1973,CO,PIPO-H,37.4732,-108.2355,2682,23.3,-15.3,3.558333333,-2.533333333,9.65,249,768,519,1135,109,132,325,701,452,452
1974,CO,PIPO-H,37.4732,-108.2355,2682,23.4,-14.9,4.8,-1.25,10.85,181,408,227,1313,120,133,151,752,571,640
1975,CO,PIPO-H,37.4732,-108.2355,2682,23.3,-14.1,3.666666667,-2.083333333,9.416666667,234,675,441,1115,104,121,292,692,459,459
1976,CO,PIPO-H,37.4732,-108.2355,2682,24.8,-13.6,4.841666667,-0.95,10.63333333,281,515,234,1244,121,130,133,730,449,501
1977,CO,PIPO-H,37.4732,-108.2355,2682,24.1,-15.5,4.883333333,-1.983333333,11.75,298,381,83,1393,129,137,68,747,451,503
1978,CO,PIPO-H,37.4732,-108.2355,2682,25.6,-11.5,5.233333333,-0.166666667,10.63333333,245,690,445,1273,119,135,225,736,491,515
1979,CO,PIPO-H,37.4732,-108.2355,2682,24.7,-15.3,4.133333333,-2.45,10.71666667,193,750,557,1297,120,136,384,735,542,549
1980,CO,PIPO-H,37.4732,-108.2355,2682,25.4,-11,4.833333333,-1.116666667,10.78333333,276,669,393,1332,119,136,278,734,458,493
1981,CO,PIPO-H,37.4732,-108.2355,2682,23.9,-10.3,6.066666667,0.466666667,11.66666667,361,591,230,1404,134,148,111,731,371,385
1982,CO,PIPO-H,37.4732,-108.2355,2682,24.2,-12.8,4.891666667,-0.95,10.73333333,347,731,384,1272,125,144,201,706,371,373
1983,CO,PIPO-H,37.4732,-108.2355,2682,24.4,-11.1,4.708333333,-1.05,10.46666667,361,760,399,1267,120,133,267,700,342,373
1984,CO,PIPO-H,37.4732,-108.2355,2682,24.8,-14.2,5.025,-1.35,11.4,327,676,349,1430,132,150,232,732,405,442
1985,CO,PIPO-H,37.4732,-108.2355,2682,25,-11.8,4.9,-1.45,11.25,352,780,428,1286,127,141,216,746,422,422
1986,CO,PIPO-H,37.4732,-108.2355,2682,24.3,-11.6,5.533333333,0.383333333,10.68333333,469,783,314,1282,125,146,137,706,279,294
1987,CO,PIPO-H,37.4732,-108.2355,2682,24.2,-11.7,4.958333333,-1.133333333,11.05,289,666,377,1273,124,141,203,745,456,456
1988,CO,PIPO-H,37.4732,-108.2355,2682,24.5,-13.8,4.983333333,-1.416666667,11.38333333,290,647,357,1390,126,143,193,740,450,450
1989,CO,PIPO-H,37.4732,-108.2355,2682,26.2,-14,5.8,-0.483333333,12.08333333,174,498,324,1518,128,149,178,792,618,700
1990,CO,PIPO-H,37.4732,-108.2355,2682,25.5,-13.1,5.616666667,-0.683333333,11.91666667,384,565,181,1445,132,146,90,760,376,444
1991,CO,PIPO-H,37.4732,-108.2355,2682,23.7,-15.6,4.491666667,-1.75,10.73333333,283,626,343,1292,123,137,205,720,437,442
1992,CO,PIPO-H,37.4732,-108.2355,2682,22.7,-13.8,5.3,-0.983333333,11.58333333,312,703,391,1386,138,155,186,740,428,448
1993,CO,PIPO-H,37.4732,-108.2355,2682,24.3,-13.1,4.675,-0.916666667,10.26666667,244,611,367,1234,118,139,214,714,476,522
1994,CO,PIPO-H,37.4732,-108.2355,2682,24.9,-13.8,5.066666667,-1.733333333,11.86666667,320,560,240,1440,138,152,146,743,422,470
1995,CO,PIPO-H,37.4732,-108.2355,2682,23.7,-11.3,4.95,-0.4,10.3,309,724,415,1205,123,143,211,682,376,377
1996,CO,PIPO-H,37.4732,-108.2355,2682,25,-11.7,5.85,-0.083333333,11.78333333,308,576,268,1436,135,150,141,748,440,515
1997,CO,PIPO-H,37.4732,-108.2355,2682,23.3,-10.6,4.941666667,-0.4,10.28333333,307,622,315,1233,124,142,166,708,406,419
1998,CO,PIPO-H,37.4732,-108.2355,2682,24.4,-12.4,4.875,-0.933333333,10.68333333,346,666,320,1279,115,125,196,735,387,395
1999,CO,PIPO-H,37.4732,-108.2355,2682,23.2,-13.6,4.866666667,0.133333333,9.6,348,636,288,1131,108,124,141,695,347,360
2000,CO,PIPO-H,37.4732,-108.2355,2682,25.6,-12.2,6.383333333,0.55,12.21666667,193,519,326,1514,133,148,130,786,593,625
2001,CO,PIPO-H,37.4732,-108.2355,2682,24.4,-11.9,5.475,-1.05,12,258,587,329,1455,132,150,156,772,516,516
2002,CO,PIPO-H,37.4732,-108.2355,2682,26,-13.1,5.691666667,-0.666666667,12.05,252,517,265,1481,134,151,121,779,527,547
2003,CO,PIPO-H,37.4732,-108.2355,2682,27.8,-10.2,5.908333333,-0.066666667,11.88333333,194,546,352,1454,128,143,156,765,571,572
2004,CO,PIPO-H,37.4732,-108.2355,2682,24.5,-12.5,5.275,-0.416666667,10.96666667,239,610,371,1368,127,148,179,740,501,505
2005,CO,PIPO-H,37.4732,-108.2355,2682,25,-11.6,5.125,-0.683333333,10.93333333,240,607,367,1297,120,138,175,734,494,494
2006,CO,PIPO-H,37.4732,-108.2355,2682,24.9,-11.4,5.7,-0.016666667,11.41666667,366,727,361,1368,129,148,162,749,382,382
2007,CO,PIPO-H,37.4732,-108.2355,2682,25.7,-14.1,5.441666667,-0.95,11.83333333,328,688,360,1440,126,141,174,766,435,445
2008,CO,PIPO-H,37.4732,-108.2355,2682,24.8,-13.8,4.65,-1.383333333,10.68333333,236,497,261,1294,115,128,193,738,502,550
2009,CO,PIPO-H,37.4732,-108.2355,2682,25.7,-12.1,5.5,-0.183333333,11.18333333,209,576,367,1371,127,142,166,749,538,560
2010,CO,PIPO-H,37.4732,-108.2355,2682,24.9,-16.5,4.491666667,-2.366666667,11.35,247,609,362,1343,125,135,233,735,487,489
2011,CO,PIPO-H,37.4732,-108.2355,2682,25.7,-13.5,5.433333333,-0.583333333,11.45,255,527,272,1435,126,148,132,739,482,506
1901,CO,PIPO-L,37.4044,-108.3171,2279,30,-10.8,8.633333333,#REF!,13.81666667,167,228,61,1721,136,140,41,824,655,655
1902,CO,PIPO-L,37.4044,-108.3171,2279,29.1,-9.9,8.175,1.433333333,14.91666667,208,356,148,2079,156,189,49,858,650,713
1903,CO,PIPO-L,37.4044,-108.3171,2279,28,-12.1,6.741666667,-0.433333333,13.91666667,272,494,222,1880,157,191,123,764,491,541
1904,CO,PIPO-L,37.4044,-108.3171,2279,27.7,-12.3,7.933333333,1.6,14.26666667,214,309,95,1961,158,193,21,796,582,707
1905,CO,PIPO-L,37.4044,-108.3171,2279,27.8,-9.6,6.933333333,0.266666667,13.6,221,537,316,1797,151,182,131,783,562,602
1906,CO,PIPO-L,37.4044,-108.3171,2279,26.1,-11.9,6.725,0.116666667,13.33333333,259,517,258,1736,152,179,108,763,506,568
1907,CO,PIPO-L,37.4044,-108.3171,2279,27.6,-6.8,7.7,2.283333333,13.11666667,280,600,320,1733,150,191,76,753,473,527
1908,CO,PIPO-L,37.4044,-108.3171,2279,27.7,-9.5,6.891666667,0.65,13.13333333,281,528,247,1753,143,178,114,772,490,545
1909,CO,PIPO-L,37.4044,-108.3171,2279,28.2,-10.6,6.566666667,-0.383333333,13.51666667,273,603,330,1752,144,165,157,766,495,500
1910,CO,PIPO-L,37.4044,-108.3171,2279,29.1,-14.5,7.4,-0.25,15.05,139,367,228,2088,157,189,135,840,701,805
1911,CO,PIPO-L,37.4044,-108.3171,2279,26.5,-7.7,7.916666667,1.9,13.93333333,302,697,395,1894,155,197,100,762,462,462
1912,CO,PIPO-L,37.4044,-108.3171,2279,26.4,-11.3,6.291666667,-0.433333333,13.01666667,172,403,231,1700,145,176,68,758,588,588
1913,CO,PIPO-L,37.4044,-108.3171,2279,27.7,-12.7,6.258333333,-1.416666667,13.93333333,201,419,218,1811,153,176,116,790,588,613
1914,CO,PIPO-L,37.4044,-108.3171,2279,26.2,-11.2,7.041666667,-0.15,14.23333333,194,454,260,1875,162,193,111,774,579,642
1915,CO,PIPO-L,37.4044,-108.3171,2279,26.3,-12.6,6.191666667,-0.616666667,13,243,490,247,1679,152,182,129,753,510,583
1916,CO,PIPO-L,37.4044,-108.3171,2279,27,-9,7.25,1.083333333,13.41666667,212,468,256,1787,145,175,94,784,572,644
1917,CO,PIPO-L,37.4044,-108.3171,2279,28.7,-12.7,5.766666667,-1.616666667,13.15,181,372,191,1718,145,170,99,777,595,627
1918,CO,PIPO-L,37.4044,-108.3171,2279,27.9,-11.5,7.683333333,1.533333333,13.83333333,222,385,163,1909,147,176,69,783,561,703
1919,CO,PIPO-L,37.4044,-108.3171,2279,27.8,-15.2,6.508333333,-1.733333333,14.75,263,500,237,1989,161,189,152,799,536,571
1920,CO,PIPO-L,37.4044,-108.3171,2279,28,-9.1,6.633333333,0.333333333,12.93333333,222,526,304,1684,147,170,123,772,548,548
1921,CO,PIPO-L,37.4044,-108.3171,2279,27.4,-10.4,7.233333333,0.883333333,13.58333333,231,370,139,1802,145,174,38,773,543,603
1922,CO,PIPO-L,37.4044,-108.3171,2279,28.2,-12.8,7.083333333,0.333333333,13.83333333,147,382,235,1927,146,178,121,794,646,708
1923,CO,PIPO-L,37.4044,-108.3171,2279,28,-9.7,6.925,0.383333333,13.46666667,244,469,225,1794,150,175,99,776,531,594
1924,CO,PIPO-L,37.4044,-108.3171,2279,28.2,-14.7,6.758333333,-0.483333333,14,139,331,192,1837,149,173,105,828,690,737
1925,CO,PIPO-L,37.4044,-108.3171,2279,28.3,-14.9,6.958333333,-0.4,14.31666667,288,471,183,1908,158,184,87,781,493,564
1926,CO,PIPO-L,37.4044,-108.3171,2279,26.8,-12,6.55,-0.4,13.5,257,448,191,1741,154,179,65,757,500,513
1927,CO,PIPO-L,37.4044,-108.3171,2279,26.4,-11.6,6.541666667,0.3,12.78333333,263,507,244,1671,148,177,118,732,471,519
1928,CO,PIPO-L,37.4044,-108.3171,2279,27.9,-13.5,6.366666667,-0.5,13.23333333,162,381,219,1733,148,174,107,774,610,653
1929,CO,PIPO-L,37.4044,-108.3171,2279,28.6,-12.1,5.666666667,-2.016666667,13.35,315,619,304,1766,144,168,171,778,462,462
1930,CO,PIPO-L,37.4044,-108.3171,2279,27.3,-13.5,7.075,-0.1,14.25,244,422,178,1901,152,177,98,823,577,636
1931,CO,PIPO-L,37.4044,-108.3171,2279,29.3,-12.4,7.308333333,0,14.61666667,230,399,169,1960,151,170,64,830,600,681
1932,CO,PIPO-L,37.4044,-108.3171,2279,27.9,-15.4,6.383333333,-1.083333333,13.85,278,574,296,1859,145,171,145,811,535,567
1933,CO,PIPO-L,37.4044,-108.3171,2279,28.9,-16.4,5.975,-1.8,13.75,255,434,179,1864,139,158,134,801,546,653
1934,CO,PIPO-L,37.4044,-108.3171,2279,29.4,-8.5,8.883333333,2.783333333,14.98333333,183,365,182,2132,158,197,36,845,660,774
1935,CO,PIPO-L,37.4044,-108.3171,2279,26.2,-8.3,6.675,0.333333333,13.01666667,260,558,298,1739,146,176,171,746,487,555
1936,CO,PIPO-L,37.4044,-108.3171,2279,26.5,-10.9,6.708333333,-0.833333333,14.25,245,449,204,1873,153,172,94,787,544,577
1937,CO,PIPO-L,37.4044,-108.3171,2279,28,-18.1,6.475,-1.033333333,13.98333333,192,485,293,1877,147,171,161,823,632,670
1938,CO,PIPO-L,37.4044,-108.3171,2279,27.2,-9.3,7.125,0.783333333,13.46666667,215,473,258,1791,148,177,120,780,565,639
1939,CO,PIPO-L,37.4044,-108.3171,2279,27.6,-13.9,6.625,-1.033333333,14.28333333,177,432,255,1888,156,179,127,805,629,646
1940,CO,PIPO-L,37.4044,-108.3171,2279,28.9,-11,7.45,0.25,14.65,268,498,230,1958,157,179,125,813,545,638
1941,CO,PIPO-L,37.4044,-108.3171,2279,26.7,-9.2,6.908333333,1.033333333,12.78333333,311,693,382,1713,151,183,151,735,424,448
1942,CO,PIPO-L,37.4044,-108.3171,2279,27.6,-12,6.425,-0.583333333,13.43333333,128,407,279,1734,147,173,121,795,666,683
1943,CO,PIPO-L,37.4044,-108.3171,2279,27.8,-10.3,7.641666667,1.066666667,14.21666667,247,530,283,1902,152,179,103,803,557,607
1944,CO,PIPO-L,37.4044,-108.3171,2279,27,-10.9,6.425,0,12.85,218,477,259,1693,144,167,135,774,556,586
1945,CO,PIPO-L,37.4044,-108.3171,2279,27.4,-11.1,6.758333333,0.466666667,13.05,135,440,305,1774,138,171,154,773,637,675
1946,CO,PIPO-L,37.4044,-108.3171,2279,27.9,-13.8,7.116666667,-0.216666667,14.45,272,467,195,1952,159,188,86,804,532,581
1947,CO,PIPO-L,37.4044,-108.3171,2279,28.5,-12.8,7.25,0.55,13.95,254,502,248,1844,151,176,68,786,533,573
1948,CO,PIPO-L,37.4044,-108.3171,2279,28,-10.7,6.675,-0.583333333,13.93333333,210,514,304,1855,153,180,143,811,599,599
1949,CO,PIPO-L,37.4044,-108.3171,2279,27.3,-14.2,6.266666667,-1.283333333,13.81666667,237,522,285,1814,151,172,153,793,554,566
1950,CO,PIPO-L,37.4044,-108.3171,2279,26.5,-11.2,6.941666667,0.783333333,13.1,178,391,213,1701,138,162,75,802,622,684
1951,CO,PIPO-L,37.4044,-108.3171,2279,29.5,-10.1,7.775,1.75,13.8,211,364,153,1934,149,179,64,812,600,729
1952,CO,PIPO-L,37.4044,-108.3171,2279,26.9,-11.6,6.6,-1.1,14.3,190,491,301,1883,156,180,174,793,605,620
1953,CO,PIPO-L,37.4044,-108.3171,2279,27.7,-10.1,7.216666667,0.833333333,13.6,161,361,200,1857,143,167,90,784,624,723
1954,CO,PIPO-L,37.4044,-108.3171,2279,28.1,-11.2,8.108333333,1.383333333,14.83333333,246,501,255,2022,158,190,66,816,568,600
1955,CO,PIPO-L,37.4044,-108.3171,2279,26.9,-13.3,6.883333333,0.266666667,13.5,217,407,190,1863,144,175,104,783,566,673
1956,CO,PIPO-L,37.4044,-108.3171,2279,27.8,-11.1,7.841666667,1.25,14.43333333,98,309,211,1988,153,179,68,842,745,865
1957,CO,PIPO-L,37.4044,-108.3171,2279,26.5,-11.9,7.1,0.95,13.25,319,525,206,1770,146,171,76,751,432,492
1958,CO,PIPO-L,37.4044,-108.3171,2279,28.6,-10.9,7.558333333,0.6,14.51666667,159,526,367,1984,152,185,133,837,679,679
1959,CO,PIPO-L,37.4044,-108.3171,2279,28.8,-10.5,7.908333333,1.383333333,14.43333333,216,367,151,1975,152,179,50,816,602,690
1960,CO,PIPO-L,37.4044,-108.3171,2279,28.9,-12.8,7.383333333,0.083333333,14.68333333,149,466,317,1988,149,173,118,849,699,738
1961,CO,PIPO-L,37.4044,-108.3171,2279,28.2,-12.3,7.433333333,0.866666667,14,215,500,285,1895,149,179,82,803,588,602
1962,CO,PIPO-L,37.4044,-108.3171,2279,28,-12.8,6.916666667,-0.5,14.33333333,151,373,222,1892,153,178,88,822,670,676
1963,CO,PIPO-L,37.4044,-108.3171,2279,29.2,-14.7,7.908333333,0.95,14.86666667,192,440,248,2079,155,189,74,809,615,639
1964,CO,PIPO-L,37.4044,-108.3171,2279,28.3,-13.3,6.858333333,-0.016666667,13.73333333,251,412,161,1916,150,182,81,769,517,554
1965,CO,PIPO-L,37.4044,-108.3171,2279,26.9,-10.5,6.725,0.366666667,13.08333333,324,564,240,1751,153,178,134,728,404,484
1966,CO,PIPO-L,37.4044,-108.3171,2279,28.8,-12.8,7.758333333,0.7,14.81666667,196,471,275,2064,153,184,82,824,628,688
1967,CO,PIPO-L,37.4044,-108.3171,2279,27.9,-12.3,7.483333333,1.3,13.66666667,220,386,166,1874,147,180,65,762,543,651
1968,CO,PIPO-L,37.4044,-108.3171,2279,26.5,-12.8,6.691666667,0.433333333,12.95,205,396,191,1743,145,170,118,749,547,671
1969,CO,PIPO-L,37.4044,-108.3171,2279,27.5,-12.4,7.1,-0.4,14.6,239,545,306,1964,157,186,163,785,545,579
1970,CO,PIPO-L,37.4044,-108.3171,2279,28,-10.5,6.975,0.483333333,13.46666667,239,482,243,1782,142,170,86,771,530,560
1971,CO,PIPO-L,37.4044,-108.3171,2279,28.9,-11.5,6.875,-0.033333333,13.78333333,267,423,156,1790,141,164,62,807,541,617
1972,CO,PIPO-L,37.4044,-108.3171,2279,29,-10.5,7.625,0.833333333,14.41666667,198,410,212,1946,148,176,71,827,629,696
1973,CO,PIPO-L,37.4044,-108.3171,2279,27.2,-14,6.058333333,-0.95,13.06666667,194,612,418,1759,141,175,197,775,581,581
1974,CO,PIPO-L,37.4044,-108.3171,2279,27.1,-13,7.266666667,0.283333333,14.25,134,307,173,1954,146,172,82,827,695,791
1975,CO,PIPO-L,37.4044,-108.3171,2279,27.1,-12.8,6.183333333,-0.466666667,12.83333333,173,528,355,1724,139,170,156,765,593,593
1976,CO,PIPO-L,37.4044,-108.3171,2279,28.7,-12.1,7.383333333,0.666666667,14.1,220,391,171,1890,152,172,63,806,585,690
1977,CO,PIPO-L,37.4044,-108.3171,2279,27.6,-14.2,7.341666667,-0.5,15.18333333,243,304,61,2023,152,167,40,821,580,677
