State,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,A-T1,a,A-T1-a,POTR-H-A-T1-a,,,2014,0,0,0,0,0,95,RINGWIDTH,1,POTR-H-A-T01-BOTH.tif,4/29/15 13:39,                   ,,2966 11105 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],681.0000 10422.0000 485.0000 1094.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,148.0777,0.9,0.662,0.853,1.013,0.902,0.915,0.831,0.696,1.062,0.965,0.87,1.012,0.665,0.635,0.809,0.681,1.126,0.921,0.999,1.105,1.031,1.009,0.884,1.657,1.426,0.952,0.57,0.899,0.825,1.442,1.12,1.206,0.708,0.882,1.37,1.15,1.284,1.174,0.983,0.888,1.103,1.579,1.407,1.746,1.707,0.982,1.555,2.694,1.418,1.912,2.956,1.779,0.997,1.402,0.357,1.227,1.129,1.008,0.719,0.768,0.844,0.953,0.855,0.646,0.475,0.752,1.651,1.35,1.229,0.815,0.623,0.745,0.645,0.534,1.372,1.518,2.283,2.199,1.235,2.451,1.516,1.391,1.847,1.66,1.85,2.204,2.597,3.12,2.292,3.44,4.376,2.901,3.344,4.571,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,A-T1,b,A-T1-b,POTR-H-A-T1-b,,,2014,0,0,0,0,0,105,RINGWIDTH,1,POTR-H-A-T01-BOTH.tif,4/29/15 13:39,                   ,,2966 11105 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],2578.0000 9552.0000 2371.0000 584.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,142.3693,0.395,0.635,0.698,0.92,0.936,1.044,0.499,0.495,0.503,0.762,0.506,0.694,0.556,0.716,0.759,0.601,0.746,0.618,0.841,0.96,0.729,0.57,0.92,0.699,0.84,0.651,0.777,1.016,0.746,0.902,1.257,1.311,0.94,0.757,1.141,0.98,0.825,0.884,1.169,0.98,1.063,1.396,1.187,0.967,1.022,1.25,1.157,1.473,1.328,1.632,1.962,1.441,0.504,0.836,1.172,1.54,1.443,0.697,1.152,0.865,0.969,1.085,1.706,1.272,0.631,0.617,1.342,1.197,0.962,1.042,0.675,0.866,0.707,0.768,1.449,1.271,1.407,1.927,1.535,2.063,1.495,2.24,1.412,1.455,1.724,1.728,1.868,2.283,1.988,1.684,1.929,1.755,1.987,2.363,2.772,2.08,2.154,2.375,1.559,1.799,2.289,1.893,2.513,2.628,0.548,,,,,,,,,,,,,,,,
CO,POTR,H,A-T3,a,A-T3-a,POTR-H-A-T3-a,,,2014,0,0,0,0,0,95,RINGWIDTH,1,NotAFile,5/4/15 14:13,                   ,,2067 8979 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],392.0000 8319.0000 266.0000 490.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,165.694,0.723,1.459,1.532,1.287,0.861,0.761,0.585,0.736,1.012,1.121,0.836,0.84,0.825,1.598,1.099,0.822,1.181,0.8,0.972,1.414,1.873,1.71,1.473,1.374,1.326,1.264,0.819,1.164,0.547,0.799,1.1,1.582,0.947,0.947,1.383,1.355,1.305,1.182,1.069,1.234,1.957,1.624,0.6,0.768,1.315,1.37,1.49,1.83,2.006,1.744,1.342,1.043,0.556,1.295,1.387,1.223,0.947,1.523,1.156,1.175,2.288,1.725,0.941,1.079,0.597,0.752,2.031,1.938,1.171,1.069,0.93,0.721,0.525,0.666,1.428,1.431,1.02,1.661,2.27,2.392,0.954,2.082,2.316,2.176,2.153,2.481,1.889,2.285,2.531,2.124,2.931,2.845,1.851,2.234,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,A-T3,b,A-T3-b,POTR-H-A-T3-b,,,2014,0,0,0,0,0,97,RINGWIDTH,1,NotAFile,5/4/15 14:13,                   ,,2067 8979 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1815.0000 7357.0000 1599.0000 952.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,135.6154,0.865,0.93,0.653,0.799,0.594,0.549,0.657,0.958,1.142,1.165,0.778,0.565,0.526,0.754,0.882,0.694,1.035,1.107,1.076,1.522,1.854,1.416,1.439,1.732,1.42,0.845,0.423,0.806,0.675,1.091,1.433,1.07,0.858,0.506,1.447,1.213,1.197,0.713,1.16,1.599,1.431,1.242,0.507,0.735,0.717,0.973,1.17,1.92,2.206,1.092,0.981,1.14,0.274,1.407,0.373,0.478,0.81,0.768,0.746,0.697,0.944,1.242,0.652,0.603,0.348,0.284,0.712,1.062,1.134,0.815,0.502,0.434,0.553,1.132,1.915,1.618,1.987,1.426,1.66,2.538,2.064,2.156,1.886,1.691,2.174,2.897,3.074,2.536,3.147,2.825,3.351,3.352,2.128,3.24,2.844,2.304,3.108,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,B-T3,a,B-T3-a,POTR-B-T3-a,,,2014,0,0,0,0,0,105,RINGWIDTH,1,NotAFile,5/4/15 14:40,                   ,,2861 16803 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],508.0000 12409.0000 331.0000 1178.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,178.2698,0.258,1.059,0.936,1.075,1.129,1.01,0.982,1.237,1.294,1.428,0.824,1.317,1.063,0.937,0.956,0.837,1.174,0.794,0.555,0.635,1.175,0.81,0.746,0.953,1.031,1.061,0.856,0.856,0.822,1.205,1.319,1.186,1.238,1.52,1.332,1.57,1.187,1.078,1.426,1.504,1.692,1.586,1.203,1.409,1.52,1.951,1.6,1.504,1.697,1.572,1.981,2.029,1.903,1.984,1.554,1.57,1.9,1.843,1.426,2.238,2.221,1.633,1.551,1.956,1.526,1.475,1.775,1.511,1.221,0.807,0.366,1.428,1.438,1.666,1.933,2.01,2.526,2.796,2.263,2.339,2.005,2.346,1.662,2.804,2.834,2.462,2.441,2.796,3.276,2.662,2.679,2.496,2.471,2.504,2.472,3.067,2.914,2.361,2.717,2.079,2.714,1.588,1.772,2.823,3.275,,,,,,,,,,,,,,,,
CO,POTR,H,B-T3,b,B-T3-b,POTR-B-T3-B,,,2014,0,0,0,0,0,105,RINGWIDTH,1,NotAFile,5/4/15 14:40,                   ,,2861 16803 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],2495.0000 12693.0000 2432.0000 799.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,188.773,0.235,1.024,1.004,1.074,1.454,1.189,1.156,1.421,1.795,1.767,1.231,0.858,1.031,1.106,0.905,0.681,1.013,1.094,0.619,0.617,0.967,1.331,0.968,1.171,1.169,1,0.887,0.698,0.981,1.091,1.39,1.504,1.345,1.515,1.456,1.499,1.313,1.293,1.386,1.341,1.773,1.738,1.313,1.407,2.025,1.074,1.683,1.989,1.92,2.252,2.764,2.187,2.118,2.398,1.398,1.594,1.642,1.829,1.564,2.095,2.264,1.871,1.509,1.987,1.779,1.126,1.76,1.394,1.163,0.581,0.422,1.234,1.557,1.725,2.055,1.863,2.466,2.664,2.485,2.096,2.372,1.889,1.71,2.824,2.507,2.408,2.36,2.933,2.861,3.013,2.776,2.333,2.556,2.654,2.717,3.384,2.717,2.477,2.543,2.521,2.655,1.613,1.988,4.041,1.737,,,,,,,,,,,,,,,,
CO,POTR,H,B-T5,a,B-T5-a,POTR-H-B-T5-a,,,2014,0,0,0,0,0,83,RINGWIDTH,1,NotAFile,5/4/15 15:02,                   ,,4528 13980 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],758.0000 4762.0000 466.0000 561.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,44.5562,0.478,0.297,0.452,0.468,0.741,0.59,0.485,0.575,0.493,0.375,0.477,0.33,0.397,0.386,0.323,0.426,0.372,0.414,0.461,0.391,0.565,0.435,0.483,0.409,0.326,0.414,0.532,0.534,0.54,0.342,0.391,0.406,0.307,0.435,0.331,0.261,0.44,0.44,0.514,0.408,0.529,0.51,0.659,0.82,0.708,0.62,0.459,0.643,0.666,0.684,0.654,0.511,0.496,0.687,0.549,0.404,0.374,0.341,0.453,0.605,0.553,0.506,0.655,0.653,0.461,0.514,0.617,0.58,0.497,0.611,0.591,0.37,0.5,0.414,0.665,0.736,0.597,0.529,0.572,0.594,0.573,0.528,1.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,B-T5,b,B-T5-b,POTR-H-B-T5-b,,,2014,0,0,0,0,0,60,RINGWIDTH,1,NotAFile,5/4/15 15:02,                   ,,4528 13980 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],4045.0000 13420.0000 3875.0000 5556.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,83.226,0.37,0.849,0.634,0.816,0.918,0.913,1.374,1.294,1.405,1.446,0.877,1.032,1.093,1.183,1.183,0.784,1.351,1.287,1.207,0.651,1.162,1.402,0.928,0.902,0.917,0.867,0.985,0.705,0.804,1.273,1.315,1.8,1.213,1.212,1.216,1.266,1.019,1.023,1.301,1.394,1.425,0.895,1.14,1.475,1.83,2.357,1.73,1.566,2.119,1.41,2.099,2.152,2.388,0.321,0.735,0.554,0.687,0.832,0.499,7.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,C-T5,a,C-T5-a,POTR-H-C-T5-a,,,2014,0,0,0,0,0,75,RINGWIDTH,1,NotAFile,5/4/15 15:20,                   ,,2264 10003 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],329.0000 9219.0000 309.0000 601.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,182.3695,0.378,1.038,1.083,1.171,1.036,1.205,1.921,1.84,2.412,2.493,1.798,1.755,1.29,1.774,1.692,1.331,1.2,1.664,1.798,1.774,1.586,2.173,2.306,2.494,1.839,1.247,1.264,1.6,1.885,2.482,2.803,2.53,2.589,2.075,2.304,2.548,2.608,2.567,2.749,2.025,1.563,2.395,2.595,2.499,2.052,2.887,3.146,4.065,3.849,3.422,4.194,3.396,1.996,3.12,3.832,3.193,3.082,2.136,2.24,2.199,2.549,3.021,2.289,2.306,1.947,2.075,2.621,1.798,1.208,1.761,0.763,0.874,2.881,2.517,4.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,C-T5,b,C-T5-b,POTR-H-C-T5-b,,,2014,0,0,0,0,0,83,RINGWIDTH,1,NotAFile,5/4/15 15:20,                   ,,2264 10003 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1806.0000 8201.0000 1770.0000 1253.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,147.0314,0.465,0.975,0.8,0.888,0.655,0.573,1.351,1.102,2.284,1.585,1.014,0.868,0.719,0.721,1.078,0.571,1.1,1.247,0.996,0.972,0.868,0.823,0.909,0.91,1.355,0.696,0.803,1.459,1.119,1.989,2.052,2.093,1.608,0.995,1.143,1.313,1.501,1.586,2.094,1.904,0.908,2.286,1.629,2.03,1.729,1.575,1.925,2.263,2.408,2.636,2.891,2.137,2.04,3.067,1.665,1.67,2.678,2.112,2.328,1.942,2.313,2.003,2.328,2.024,2.556,2.207,2.73,2.069,2.018,2.191,1.618,1.096,1.607,2.178,2.542,2.666,4.004,3.236,2.921,2.275,1.713,3.181,3.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
