"","State","Species","Band","Pair","Comp","Tag","Lat","Long","Elev","Aspect","Slope","DBH","Bark","BAF","PIPO_L","PIPO_R","PIPO_G","POTR_L","POTR_R","POTR_G","PIEN_L","PIEN_R","PIEN_G","PSME_L","PSME_R","PSME_G","ABLA_L","ABLA_R","ABLA_G","PIED_L","PIED_R","PIED_G","QUGA_L","QUGA_R","QUGA_G","Jun_sp_L","Jun_sp_R","Jun_sp_G","BA_tot","BA_sameL","BA_sameLR","BA_sameRG","BA_same_all","BA_otherL","BA_otherLR","BA_otherRG","BA_other_all","BA_totL","BA_totR","BA_totG","PIPO_5","PIPO_5d","POTR_5","POTR_5d","PIEN_5","PIEN_5d","ABLA_5","ABLA_5d","PSME_5","PSME_5d","PIED_5","PIED_5d","QUGA_5","PIPU_5","PIPU_5d","Jun_sp_5","Jun_sp_5d","in5_tot","in5_L","in5_same","in5_sameL","in5_other","in5_otherL","N_Cr","p_bot.of.canopy.","p_top.of.canopy.","p_base.ref.","dist","three_cams","Notes","pic_N","pic_S","PIPO_r1","PIPO_r2","PIPO_r3","PIPO_r4","PIPO_reg_dead","POTR_r1","POTR_r2","POTR_r3","POTR_r4","POTR_reg_dead","PSME_r1","PSME_r2","PSME_r3","PSME_r4","PSME_rdead","ABLA_r1","ABLA_r2","ABLA_r3","ABLA_r4","ABLA_rt","ABLA_rdead","PIEN_r1","PIEN_r2","PIEN_r3","PIEN_r4","PIEN_rt","PIEN_rdead","PIED_R1","PIED_r2","PIED_r3","PIED_r4","PIED_rdead","Jun_spR1","Jun_spr2","Jun_spr3","Jun_spr4","Jun_sprdead","other","BAI10yr"
"117","CO","PIPO","L","2","H","PIPO-L-2H",37.41694,108.33577,2308,"S",5,37.8,3.9,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,145,145,0,145,0,0,0,0,145,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,11,10,10,1,1,4,34.2,70.3,-0.5,32,"","",404,405,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,543.450905182124
"118","CO","PIPO","L","2","L","PIPO-L-2L",37.41686,108.3058,2302,"S",5,39.8,3.5,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,0,125,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,77.9,-1.5,23,"","",406,407,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,597.869469455043
"119","CO","PIPO","L","3","H","PIPO-L-3H",37.41505,108.33302,2298,"SSW",6,46.8,3.8,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,0,130,0,0,0,0,130,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,3,3,1,1,4,24.2,92.2,-16.8,22,"","",408,409,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,4,NA,827.591398851167
"120","CO","PIPO","L","3","L","PIPO-L-3L",37.41505,108.33302,2304,"SSW",10,53.5,3.3,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,0,90,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,104,-13.7,23,"","",410,411,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1338.00252171272
"121","CO","PIPO","L","4","H","PIPO-L-4H",37.41517,108.33176,2298,"SSW",15,35.5,2.7,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,170,160,160,0,160,10,10,0,10,170,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9,8,8,1,1,4,42.4,85.5,-4.4,21,"","",412,413,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,1,1,NA,0,0,0,0,NA,NA,615.305514849493
"122","CO","PIPO","L","4","L","PIPO-L-4L",37.41553,108.33155,2307,"SSW",5,37.3,4.2,10,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80,60,60,10,70,10,10,0,10,70,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,20,53.5,1.8,26,"","",414,415,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,674.539790372786
"123","CO","PIPO","L","5","H","PIPO-L-5H",37.41538,108.31711,2336,"W",2,46.9,3.7,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,120,0,120,0,0,0,0,120,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,4,51.1,72.9,-1,34,"","",416,417,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,325.048412226375
"124","CO","PIPO","L","5","L","PIPO-L-5L",37.41556,108.31698,2336,"SW",2,52.1,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,20,20,0,20,5,5,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,4,0,0,4,4,0,11.3,75.4,-5,23,"","6 SCRUB OAK",418,419,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,2310.83279227869
"125","CO","PIPO","L","6","H","PIPO-L-6H",37.39441,108.30241,2264,"SSE",3,44.2,3.8,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,70,50,50,0,50,20,20,0,20,70,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,5,3,3,2,2,4,7.3,37.8,-6.9,36,"","pirvate in subdivision",420,421,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,608.339719813774
"126","CO","PIPO","L","6","L","PIPO-L-6L",37.39445,108.30246,2256,"SSE",2,43.4,2.4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,55,45,45,0,45,10,10,0,10,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,6.1,57,-5,30,"","pirvate in subdivision",422,423,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,NA,NA,997.912720158471
"127","CO","PIPO","L","7","H","PIPO-L-7H",37.39498,108.3022,2266,"SSE",3,43.8,3.5,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,130,120,120,0,120,10,10,0,10,130,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,6,6,1,1,5,61.6,92.3,-6.6,20,"","pirvate in subdivision",424,425,0,0,0,0,"4",0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,0,0,0,NA,0,0,1,0,NA,NA,591.107435134327
