State,Species,Band,Pair,Comp,Tag,Lat,Long,Elev,Slope,Aspect,DBH,Bark,BAF,ABLA_L,ABLA_R,ABLA_G,PSME_L,PSME_R,PSME_G,PIEN_L,PIEN_R,PIEN_G,Pinus_sp_L,Pinus_sp_R,Pinus_sp_G,PIMO_L,PIMO_R,PIMO_G,LAOC_L,LAOC_R,LAOC_G,TSHE_L,TSHE_R,TSHE_G,THPL_L,THPL_R,THPL_G,ABGR?_L,ABGR?_R,ABGR?_G,PIAL_L,PIAL_R,PIAL_G,PICO_L,PICO_R,PICO_G,Pop_sp_L,Pop_sp_R,Pop_sp_G,BA_tot,BA_sameL,BA_sameLR,BA_sameRG,BA_same_all,BA_otherL,BA_otherLR,BA_otherRG,BA_other_all,BA_totL,BA_totR,BA_totG,ABLA_5,ABLA_5d,PSME_5,PSME_5d,PIEN_5,PIEN_5d,Pinus_sp_5,Pinus_sp_5d,LAOC_5nw,LAOC_5dnw,PIMO_5,PIMO_5d,TSHE_5,TSHE_5d,THPL_5,THPL_5d,ABRG?_5,ABRG?_5d,PICO_5,PICO_5D,PIAL_5,PIAL_5d,in5_tot,in5_L,in5_same,in5_sameL,in5_other,in5_otherL,p_bot(of canopy),p_top(of canopy),p_base(ref),dist,Height,N_Cr,p_taller,pic_N,pic_S,ABLA_r1,ABLA_r2,ABLA_r3,ABLA_r4,ABLA_rt,ABLA_rdead,PSME_r1,PSME_r2,PSME_r3,PSME_r4,PSME_rt,PSME_rdead,PIEN_r1,PIEN_r2,PIEN_r3,PIEN_r4,PIEN_rdead,PIMO_r1,PIMO_r2,PIMO_r3,PIMO_r4,PIMO_rdead,LAOC_r1,LAOC_r2,LAOC_r3,LAOC_r4,LAOC_rdead,TSHE_r1,TSHE_r2,TSHE_r3,TSHE_r4,TSHE_r5,TSHE_rdead,THPL_r1,THPL_r2,THPL_r3,THPL_r4,THPL_r5,THPL_rdead,ABGR?_r1,ABGR?_r2,ABGR?_r3,ABGR?_r4,ABGR?_rdead,PIAL_r1,PIAL_r2,PIAL_r3,PIAL_r4,PIAL_rdead,Pinus_sp_r1,Pinus_sp_r2,Pinus_sp_r3,Pinus_sp_r4,Pinus_sprdead,PICO_R1,PICO_R2,PICO_R3,PICO_R4,PICO_R5,PICO_RD
MT,ABLA,H,6,C,ABLA-H-6C,48.62655,113.83418,2231,36.4,230,30.9,1.5,5,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,75,75,5,80,0,0,0,0,75,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,0,0,6.8,42.3,-8.4,12,6.084,4,0.75,1030,1031,21,24,3,6,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,1,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,6,N,ABLA-H-6N,48.62641,113.83421,2229,37.3,220,28.1,1.1,5,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,50,55,10,60,0,0,0,0,50,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,8,7,7,1,1,-5.9,32.3,-11.9,12,5.304,2,1,1028,1029,5,9,5,6,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,7,C,ABLA-H-7C,48.62716,113.83432,2241,65,245,27.5,1.5,5,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,80,85,10,90,0,0,0,0,80,5,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,10,9,8,2,2,6.7,47.1,-6.5,11,5.896,4,0.8,1032,1033,13,26,5,3,0,"2,",0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,7,N,ABLA-H-7N,48.62713,113.83434,2239,44.6,230,27,1,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,0,60,0,0,0,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-4.6,48.2,-16,11,7.062,1,1,1034,1035,1,9,2,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,8,C,ABLA-H-8C,48.62632,113.83479,2211,38.5,230,23.5,1,5,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,80,80,5,85,0,0,0,0,80,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,18.6,48.6,5.1,10,4.35,5,0.5,1036,1037,9,20,2,8,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,8,N,ABLA-H-8N,48.62631,113.83472,2213,50.1,250,22.8,1.2,5,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,60,60,5,65,0,0,0,0,60,0,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,9,0,0,7.8,57.3,-7,11,7.073,2,1,1038,1039,13,25,13,6,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,9,C,ABLA-H-9C,48.62602,113.8354,2181,41.7,260,20.6,0.8,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,45,5,50,0,0,0,0,45,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,0,0,12.7,41.7,-9.5,12,6.144,3,0.9,1040,1041,22,39,6,3,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,9,N,ABLA-H-9N,48.62601,113.83546,2180,38.1,260,21.7,1.1,5,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,120,125,10,130,0,0,0,0,120,5,5,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,13,12,0,0,1.1,77.5,-12,6.5,5.8175,1,1,1042,1043,19,24,3,5,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,2,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,10,C,ABLA-H-10C,48.62584,113.83596,2173,44.7,230,13.8,0.6,5,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,105,90,90,0,90,10,10,5,15,100,0,5,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,14,14,1,1,7.4,50.1,-3.2,10,5.33,2,1,1044,1045,23,24,14,9,0,"1,1,1,",0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,2,1,1,0,NA,0,0,0,0,NA,0,0,0,0,0,NA
MT,ABLA,H,10,N,ABLA-H-10N,48.62587,113.83601,2172,45.6,240,12.8,0.6,5,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80,65,65,5,70,10,10,0,10,75,0,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,11,9,0,0,3,54.8,0.1,10,5.47,0,1,1046,1047,5,10,4,9,0,"1,2,",0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,1,1,1,2,"2,",0,0,0,0,NA,0,0,0,0,0,NA
