"","xxxstd","samp.depth"
"2012",0.960133423553062,56
"2011",1.26525396671894,56
"2010",1.00441891097017,56
"2009",1.03398072032817,56
"2008",1.10504677848631,56
"2007",1.02713813995557,56
"2006",1.06928346874788,56
"2005",0.874251154175703,56
"2004",0.826385817346059,56
"2003",0.780608762025155,56
"2002",0.627134667552746,56
"2001",0.874280964094472,56
"2000",1.07989506706734,56
"1999",1.06630339923716,56
"1998",0.953916055547855,56
"1997",0.870275821658562,56
"1996",0.983785543508828,56
"1995",0.875794789469244,56
"1994",1.10834292001266,56
"1993",1.19719331501114,56
"1992",1.25387110442561,56
"1991",1.15481088413871,56
"1990",1.0639304115631,56
"1989",0.75411502915749,56
"1988",1.1325636467069,56
"1987",0.707327459232243,56
"1986",0.438909868825682,56
"1985",0.979144784693609,56
"1984",1.25998640065446,56
"1983",1.35912892722149,56
"1982",0.815599962347843,56
"1981",0.979512277742505,56
"1980",0.906179933899444,56
"1979",0.950340785552295,56
"1978",0.983024460484845,56
"1977",0.801660161400944,56
"1976",1.00884721061933,56
"1975",1.08187518721605,56
"1974",0.899187287883168,56
"1973",1.06948377956278,56
"1972",0.846158414905569,56
"1971",0.964142454862037,56
"1970",1.2909350667417,56
"1969",1.44759523584631,56
"1968",1.12883255112363,56
"1967",1.24060639141259,56
"1966",1.09809069754307,56
"1965",1.11732506901446,56
"1964",1.04231638838076,56
"1963",0.617881937792884,56
"1962",0.831135830437342,56
"1961",0.754170633578658,56
"1960",0.908612372384942,56
"1959",0.805313718301738,56
"1958",1.26692098936267,56
"1957",1.40345815558023,56
"1956",0.992606746175997,56
"1955",0.898376762267012,56
"1954",1.07581642571341,56
"1953",0.89733978744434,56
"1952",0.898074058752701,56
"1951",0.70391446164494,56
"1950",0.777841985299989,56
"1949",0.764736602570908,56
"1948",1.11460913069187,56
"1947",1.14402003750719,56
"1946",0.761242197161638,56
"1945",0.740928595912291,56
"1944",0.782584981923438,56
"1943",0.684110899053157,56
"1942",0.83284781723724,56
"1941",1.16381783797813,56
"1940",1.08992894916046,56
"1939",0.832143898941126,56
"1938",1.19721229914048,55
"1937",1.2761636689609,54
"1936",0.919831189726031,53
"1935",0.867454620144217,51
"1934",0.821583899940817,51
"1933",1.24824231135264,51
"1932",0.996692366183401,51
"1931",0.815094468867462,51
"1930",1.01470988155236,50
"1929",1.09036636296526,49
"1928",0.941028629900889,49
"1927",1.17158511019078,46
"1926",1.21875348025583,44
"1925",1.19816359209402,44
"1924",1.01416608658029,43
"1923",1.0034757270237,43
"1922",0.682025976968673,41
"1921",1.12584566629384,41
"1920",1.31642270681498,41
"1919",1.23211978276151,40
"1918",1.09667044230274,34
"1917",0.891591044937543,32
"1916",0.891304862581253,31
"1915",0.604652206202057,30
"1914",1.10008270684729,30
"1913",0.905429345030299,30
"1912",1.16737724228477,27
"1911",1.17171103397604,25
"1910",0.853651650423126,21
"1909",0.899043590986719,20
"1908",0.901060278555389,19
"1907",1.08499579401903,18
"1906",1.13314259878069,17
"1905",1.03820853000516,13
"1904",0.708525449589476,10
"1903",0.926485637904581,9
"1902",0.795515357949913,8
"1901",0.80917789101461,8
"1900",0.9224038611632,7
"1899",0.758150583462922,5
"1898",1.10848427874319,5
"1897",1.04166744034649,3
"1896",1.29127177445169,2
"1895",0.599407791210003,2
"1894",1.09553593988486,1
"1893",0.489240632263293,1
"1892",NA,0
"1891",NA,0
"1890",NA,0
"1889",NA,0
"1888",NA,0
"1887",NA,0
"1886",NA,0
"1885",NA,0
"1884",NA,0
"1883",NA,0
"1882",NA,0
"1881",NA,0
"1880",NA,0
"1879",NA,0
"1878",NA,0
"1877",NA,0
"1876",NA,0
"1875",NA,0
"1874",NA,0
"1873",NA,0
"1872",NA,0
"1871",NA,0
"1870",NA,0
"1869",NA,0
"1868",NA,0
"1867",NA,0
"1866",NA,0
"1865",NA,0
"1864",NA,0
"1863",NA,0
"1862",NA,0
"1861",NA,0
"1860",NA,0
"1859",NA,0
"1858",NA,0
"1857",NA,0
"1856",NA,0
"1855",NA,0
"1854",NA,0
"1853",NA,0
"1852",NA,0
"1851",NA,0
"1850",NA,0
"1849",NA,0
"1848",NA,0
"1847",NA,0
"1846",NA,0
"1845",NA,0
"1844",NA,0
"1843",NA,0
"1842",NA,0
"1841",NA,0
"1840",NA,0
"1839",NA,0
"1838",NA,0
"1837",NA,0
"1836",NA,0
"1835",NA,0
"1834",NA,0
"1833",NA,0
"1832",NA,0
"1831",NA,0
"1830",NA,0
"1829",NA,0
"1828",NA,0
"1827",NA,0
"1826",NA,0
"1825",NA,0
"1824",NA,0
"1823",NA,0
"1822",NA,0
"1821",NA,0
"1820",NA,0
"1819",NA,0
"1818",NA,0
"1817",NA,0
"1816",NA,0
"1815",NA,0
"1814",NA,0
"1813",NA,0
"1812",NA,0
"1811",NA,0
