"","xxxstd","samp.depth"
"2012",1.03476901524161,61
"2011",1.13937106668834,61
"2010",0.921490777458623,61
"2009",0.877612242163379,61
"2008",0.939783916125583,61
"2007",0.953479069628976,61
"2006",1.1964619488731,61
"2005",1.17950600438964,61
"2004",0.87820673582849,61
"2003",1.00304962774282,61
"2002",0.75688629682041,61
"2001",1.02343110965104,61
"2000",0.950167219301245,61
"1999",0.755977697031335,61
"1998",0.881426123169773,61
"1997",0.908717831291645,61
"1996",0.946054964317013,61
"1995",0.966354128614716,61
"1994",0.987991813878707,61
"1993",0.982007754085993,61
"1992",0.907636085684426,61
"1991",0.991210303889349,61
"1990",1.07177530603059,61
"1989",0.961739100922065,61
"1988",1.02771950200109,61
"1987",0.947268687258533,61
"1986",0.855517230586508,61
"1985",0.978268793066317,61
"1984",1.07344085039584,61
"1983",1.04754196403919,61
"1982",0.926847333124568,61
"1981",0.942112177176249,61
"1980",1.00839925370616,61
"1979",1.06688230165792,61
"1978",1.03821686400866,59
"1977",0.957276806423472,57
"1976",1.06067499776615,57
"1975",0.951794493921957,57
"1974",0.951808116008249,57
"1973",1.06540641344832,57
"1972",0.901613399175451,57
"1971",0.969045182920151,57
"1970",1.10697430164773,56
"1969",1.20197229149246,56
"1968",1.05862712722013,56
"1967",1.0732855711376,56
"1966",1.04625461484056,54
"1965",1.00391837183897,54
"1964",1.200895712713,54
"1963",1.07928411896638,53
"1962",0.903101830671158,53
"1961",1.08207396413382,53
"1960",0.886251176460633,51
"1959",0.853383330837665,51
"1958",1.01135516572706,51
"1957",0.949320380912718,51
"1956",0.84398780194103,51
"1955",0.805603904112934,51
"1954",0.915975435965406,51
"1953",0.868546704377725,51
"1952",0.860749356456365,51
"1951",0.90371532863738,51
"1950",0.673573370262669,51
"1949",0.650220286639623,51
"1948",0.885879057095218,51
"1947",0.983762261221446,51
"1946",0.734790170006637,51
"1945",0.604653036308861,51
"1944",0.494251868539684,51
"1943",0.583686869921246,51
"1942",0.738341872913495,51
"1941",0.793610675064392,51
"1940",1.06053420267872,51
"1939",1.02323607888767,50
"1938",1.27766234099168,50
"1937",1.10587166347986,50
"1936",1.18775078268109,47
"1935",1.13439407102641,47
"1934",0.899255792323943,45
"1933",1.05789868934128,45
"1932",0.966280993470529,44
"1931",1.11879766525817,44
"1930",1.04977157788773,44
"1929",1.09960062171498,44
"1928",0.963770598122873,44
"1927",1.11312577121168,44
"1926",1.14190911902983,44
"1925",0.954470190947822,44
"1924",1.02456267891474,44
"1923",0.947396729581988,44
"1922",1.02760356714648,44
"1921",0.981722005238098,43
"1920",1.16178863386852,43
"1919",1.07669986558626,43
"1918",1.05740270497515,43
"1917",1.09342264203046,43
"1916",0.883638629697788,43
"1915",0.754867070872701,42
"1914",0.829487983760892,39
"1913",0.695054159835221,39
"1912",0.769704788586579,39
"1911",0.762043040259475,39
"1910",1.13651415840244,36
"1909",1.11558713547742,35
"1908",1.20847663971103,34
"1907",1.20087697175193,33
"1906",1.22272222249639,32
"1905",1.07457752996588,29
"1904",0.945209726826621,27
"1903",1.10340225608527,26
"1902",0.873686591433793,26
"1901",1.15636708588443,25
"1900",1.13720800448931,25
"1899",1.22869080905429,23
"1898",1.26951996735695,22
"1897",0.965475644842127,20
"1896",1.09016771944975,16
"1895",1.00262979674367,15
"1894",0.808182454008451,15
"1893",0.941598557056052,13
"1892",0.903412851617514,13
"1891",0.849802955165982,13
"1890",0.884051681206399,13
"1889",1.06001354383311,13
"1888",1.17606213754528,13
"1887",1.09601442934589,13
"1886",1.12615648320642,13
"1885",0.99285964125832,12
"1884",1.09250117705953,12
"1883",0.985129664284056,12
"1882",0.985369364394788,12
"1881",1.02228390138269,12
"1880",0.966013652986841,11
"1879",0.777804529449995,11
"1878",1.12204775287858,11
"1877",1.08257056248991,11
"1876",1.03089501258005,11
"1875",0.958642655204025,11
"1874",1.02825060465297,11
"1873",0.909332674481995,11
"1872",0.748621653998499,11
"1871",0.749101944477028,10
"1870",0.649721061652494,10
"1869",0.88990805823518,10
"1868",0.702906768936091,10
"1867",0.657961987542759,10
"1866",0.512620451562161,10
"1865",0.49812017050462,10
"1864",0.736140139019299,9
"1863",0.958033334498647,8
"1862",1.26099180471956,8
"1861",1.16120224668272,8
"1860",1.11226090861369,8
"1859",1.21810934206013,8
"1858",1.16324980039393,8
"1857",0.844641763032973,7
"1856",1.26663121206712,6
"1855",0.964404769212957,6
"1854",1.24084389886529,4
"1853",1.43441918593221,3
"1852",0.734838792853321,3
"1851",1.54070970358642,2
"1850",1.39218246672317,2
"1849",1.32422192549868,2
"1848",1.54478858182836,2
"1847",1.49569611872964,2
"1846",2.43052103934533,2
"1845",0.194251392574994,2
